run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,error_message
batch_M1_N2_p0.0100_depolarizing,1,2,0.01,depolarizing,1,3,0.9765784114052953,0.958984375,1024,ibm_torino,6,3,
batch_M1_N2_p0.0100_dephasing,1,2,0.01,dephasing,1,3,0.9746192893401016,0.9619140625,1024,ibm_torino,6,3,
batch_M1_N2_p0.1000_depolarizing,1,2,0.1,depolarizing,1,3,0.9779338014042126,0.9736328125,1024,ibm_torino,6,3,
batch_M1_N2_p0.1000_dephasing,1,2,0.1,dephasing,1,3,0.9755849440488301,0.9599609375,1024,ibm_torino,6,3,
batch_M1_N2_p0.2000_depolarizing,1,2,0.2,depolarizing,1,3,0.9756838905775076,0.9638671875,1024,ibm_torino,6,3,
batch_M1_N2_p0.2000_dephasing,1,2,0.2,dephasing,1,3,0.9759036144578314,0.97265625,1024,ibm_torino,6,3,
batch_M1_N2_p0.3000_depolarizing,1,2,0.3,depolarizing,1,3,0.9787878787878788,0.966796875,1024,ibm_torino,6,3,
batch_M1_N2_p0.3000_dephasing,1,2,0.3,dephasing,1,3,0.9816887080366226,0.9599609375,1024,ibm_torino,6,3,
batch_M1_N2_p0.4000_depolarizing,1,2,0.4,depolarizing,1,3,0.973973973973974,0.9755859375,1024,ibm_torino,6,3,
batch_M1_N2_p0.4000_dephasing,1,2,0.4,dephasing,1,3,0.9839034205231388,0.970703125,1024,ibm_torino,6,3,
batch_M1_N2_p0.5000_depolarizing,1,2,0.5,depolarizing,1,3,0.9713993871297242,0.9560546875,1024,ibm_torino,6,3,
batch_M1_N2_p0.5000_dephasing,1,2,0.5,dephasing,1,3,0.9765784114052953,0.958984375,1024,ibm_torino,6,3,
batch_M1_N2_p0.6000_depolarizing,1,2,0.6,depolarizing,1,3,0.9818731117824774,0.9697265625,1024,ibm_torino,6,3,
batch_M1_N2_p0.6000_dephasing,1,2,0.6,dephasing,1,3,0.9737903225806451,0.96875,1024,ibm_torino,6,3,
batch_M1_N2_p0.7000_depolarizing,1,2,0.7,depolarizing,1,3,0.5451197053406999,0.5302734375,1024,ibm_torino,7,3,
batch_M1_N2_p0.7000_dephasing,1,2,0.7,dephasing,1,3,0.4941860465116279,0.50390625,1024,ibm_torino,7,3,
batch_M1_N2_p0.8000_depolarizing,1,2,0.8,depolarizing,1,3,0.030303030303030304,0.966796875,1024,ibm_torino,7,3,
batch_M1_N2_p0.8000_dephasing,1,2,0.8,dephasing,1,3,0.03229061553985873,0.9677734375,1024,ibm_torino,7,3,
batch_M1_N2_p0.9000_depolarizing,1,2,0.9,depolarizing,1,3,0.027300303336703743,0.9658203125,1024,ibm_torino,7,3,
batch_M1_N2_p0.9000_dephasing,1,2,0.9,dephasing,1,3,0.030456852791878174,0.9619140625,1024,ibm_torino,7,3,
batch_M1_N4_p0.0100_depolarizing,1,4,0.01,depolarizing,2,7,0.9738154613466334,0.783203125,1024,ibm_torino,9,7,
batch_M1_N4_p0.0100_dephasing,1,4,0.01,dephasing,2,7,0.9732868757259001,0.8408203125,1024,ibm_torino,9,7,
batch_M1_N4_p0.1000_depolarizing,1,4,0.1,depolarizing,2,7,0.977803738317757,0.8359375,1024,ibm_torino,9,7,
