run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,error_message
batch_M1_N2_p0.6000_depolarizing,1,2,0.6,depolarizing,1,3,0.9471698113207547,0.517578125,1024,ibm_torino,5,3,
batch_M1_N2_p0.6000_dephasing,1,2,0.6,dephasing,1,3,0.9674134419551935,0.4794921875,1024,ibm_torino,5,3,
batch_M1_N2_p0.7000_depolarizing,1,2,0.7,depolarizing,1,3,0.5626168224299065,0.5224609375,1024,ibm_torino,6,3,
batch_M1_N2_p0.7000_dephasing,1,2,0.7,dephasing,1,3,0.5477477477477477,0.5419921875,1024,ibm_torino,6,3,
batch_M1_N2_p0.8000_depolarizing,1,2,0.8,depolarizing,1,3,0.972972972972973,0.505859375,1024,ibm_torino,6,3,
batch_M1_N2_p0.8000_dephasing,1,2,0.8,dephasing,1,3,0.9596928982725528,0.5087890625,1024,ibm_torino,6,3,
batch_M1_N2_p0.9000_depolarizing,1,2,0.9,depolarizing,1,3,0.9691714836223507,0.5068359375,1024,ibm_torino,6,3,
batch_M1_N2_p0.9000_dephasing,1,2,0.9,dephasing,1,3,0.9695238095238096,0.5126953125,1024,ibm_torino,6,3,
batch_M1_N4_p0.6000_depolarizing,1,4,0.6,depolarizing,2,6,0.7728813559322034,0.2880859375,1024,ibm_torino,12,6,
batch_M1_N4_p0.6000_dephasing,1,4,0.6,dephasing,2,6,0.5237154150197628,0.494140625,1024,ibm_torino,12,6,
batch_M1_N4_p0.7000_depolarizing,1,4,0.7,depolarizing,2,6,0.9456521739130435,0.26953125,1024,ibm_torino,12,6,
batch_M1_N4_p0.7000_dephasing,1,4,0.7,dephasing,2,6,0.6895424836601307,0.298828125,1024,ibm_torino,12,6,
batch_M1_N4_p0.8000_depolarizing,1,4,0.8,depolarizing,2,6,0.8216783216783217,0.279296875,1024,ibm_torino,12,6,
batch_M1_N4_p0.8000_dephasing,1,4,0.8,dephasing,2,6,0.9421296296296297,0.421875,1024,ibm_torino,12,6,
batch_M1_N4_p0.9000_depolarizing,1,4,0.9,depolarizing,2,6,0.7483870967741936,0.302734375,1024,ibm_torino,12,6,
batch_M1_N4_p0.9000_dephasing,1,4,0.9,dephasing,2,6,0.9411764705882353,0.431640625,1024,ibm_torino,12,6,
batch_M1_N8_p0.6000_depolarizing,1,8,0.6,depolarizing,3,11,0.8021390374331551,0.1826171875,1024,ibm_torino,24,11,
batch_M1_N8_p0.6000_dephasing,1,8,0.6,dephasing,3,11,0.8716814159292036,0.220703125,1024,ibm_torino,24,11,
batch_M1_N8_p0.7000_depolarizing,1,8,0.7,depolarizing,3,11,0.7916666666666666,0.1640625,1024,ibm_torino,24,11,
batch_M1_N8_p0.7000_dephasing,1,8,0.7,dephasing,3,11,0.7425149700598802,0.1630859375,1024,ibm_torino,24,11,
batch_M1_N8_p0.8000_depolarizing,1,8,0.8,depolarizing,3,11,0.793939393939394,0.1611328125,1024,ibm_torino,24,11,
batch_M1_N8_p0.8000_dephasing,1,8,0.8,dephasing,3,11,0.8685446009389671,0.2080078125,1024,ibm_torino,24,11,
batch_M1_N8_p0.9000_depolarizing,1,8,0.9,depolarizing,3,11,0.7305389221556886,0.1630859375,1024,ibm_torino,24,11,
batch_M1_N8_p0.9000_dephasing,1,8,0.9,dephasing,3,11,0.7865168539325843,0.173828125,1024,ibm_torino,24,11,
batch_M1_N16_p0.0100_depolarizing,1,16,0.01,depolarizing,4,20,0.8624338624338624,0.1845703125,1024,ibm_torino,47,20,
batch_M1_N16_p0.0100_dephasing,1,16,0.01,dephasing,4,20,0.84472049689441,0.1572265625,1024,ibm_torino,47,20,
batch_M1_N16_p0.1000_depolarizing,1,16,0.1,depolarizing,4,20,0.8612244897959184,0.2392578125,1024,ibm_torino,48,20,
batch_M1_N16_p0.1000_dephasing,1,16,0.1,dephasing,4,20,0.8045977011494253,0.169921875,1024,ibm_torino,48,20,
batch_M1_N16_p0.2000_depolarizing,1,16,0.2,depolarizing,4,20,0.8551724137931035,0.1416015625,1024,ibm_torino,48,20,
batch_M1_N16_p0.2000_dephasing,1,16,0.2,dephasing,4,20,0.891156462585034,0.1435546875,1024,ibm_torino,48,20,
batch_M1_N16_p0.3000_depolarizing,1,16,0.3,depolarizing,4,20,0.8467741935483871,0.12109375,1024,ibm_torino,48,20,
batch_M1_N16_p0.3000_dephasing,1,16,0.3,dephasing,4,20,0.6692913385826772,0.1240234375,1024,ibm_torino,48,20,
batch_M1_N16_p0.4000_depolarizing,1,16,0.4,depolarizing,4,20,0.8064516129032258,0.12109375,1024,ibm_torino,48,20,
batch_M1_N16_p0.4000_dephasing,1,16,0.4,dephasing,4,20,0.7333333333333333,0.1171875,1024,ibm_torino,48,20,
batch_M1_N16_p0.5000_depolarizing,1,16,0.5,depolarizing,4,20,0.7962962962962963,0.10546875,1024,ibm_torino,48,20,
batch_M1_N16_p0.5000_dephasing,1,16,0.5,dephasing,4,20,0.5,0.103515625,1024,ibm_torino,48,20,
batch_M1_N16_p0.6000_depolarizing,1,16,0.6,depolarizing,4,20,0.7247706422018348,0.1064453125,1024,ibm_torino,48,20,
batch_M1_N16_p0.6000_dephasing,1,16,0.6,dephasing,4,20,0.6699029126213593,0.1005859375,1024,ibm_torino,48,20,
batch_M1_N16_p0.7000_depolarizing,1,16,0.7,depolarizing,4,20,0.744,0.1220703125,1024,ibm_torino,48,20,
batch_M1_N16_p0.7000_dephasing,1,16,0.7,dephasing,4,20,0.7452830188679245,0.103515625,1024,ibm_torino,48,20,
batch_M1_N16_p0.8000_depolarizing,1,16,0.8,depolarizing,4,20,0.7,0.09765625,1024,ibm_torino,48,20,
batch_M1_N16_p0.8000_dephasing,1,16,0.8,dephasing,4,20,0.7065217391304348,0.08984375,1024,ibm_torino,48,20,
batch_M1_N16_p0.9000_depolarizing,1,16,0.9,depolarizing,4,20,0.75,0.09375,1024,ibm_torino,48,20,
batch_M1_N16_p0.9000_dephasing,1,16,0.9,dephasing,4,20,0.654320987654321,0.0791015625,1024,ibm_torino,48,20,
batch_M2_N2_p0.6000_depolarizing,2,2,0.6,depolarizing,1,5,0.2707509881422925,0.494140625,1024,ibm_torino,7,5,
batch_M2_N2_p0.6000_dephasing,2,2,0.6,dephasing,1,5,0.4680073126142596,0.5341796875,1024,ibm_torino,7,5,
batch_M2_N2_p0.7000_depolarizing,2,2,0.7,depolarizing,1,5,0.29025844930417494,0.4912109375,1024,ibm_torino,7,5,
batch_M2_N2_p0.7000_dephasing,2,2,0.7,dephasing,1,5,0.2744721689059501,0.5087890625,1024,ibm_torino,7,5,
batch_M2_N2_p0.8000_depolarizing,2,2,0.8,depolarizing,1,5,0.2513863216266174,0.5283203125,1024,ibm_torino,7,5,
batch_M2_N2_p0.8000_dephasing,2,2,0.8,dephasing,1,5,0.5267034990791897,0.5302734375,1024,ibm_torino,7,5,
batch_M2_N2_p0.9000_depolarizing,2,2,0.9,depolarizing,1,5,0.2558983666061706,0.5380859375,1024,ibm_torino,7,5,
batch_M2_N2_p0.9000_dephasing,2,2,0.9,dephasing,1,5,0.48148148148148145,0.52734375,1024,ibm_torino,7,5,
batch_M2_N4_p0.6000_depolarizing,2,4,0.6,depolarizing,2,10,0.3230240549828179,0.2841796875,1024,ibm_torino,15,10,
batch_M2_N4_p0.6000_dephasing,2,4,0.6,dephasing,2,10,0.515527950310559,0.314453125,1024,ibm_torino,15,10,
batch_M2_N4_p0.7000_depolarizing,2,4,0.7,depolarizing,2,10,0.3384615384615385,0.25390625,1024,ibm_torino,15,10,
batch_M2_N4_p0.7000_dephasing,2,4,0.7,dephasing,2,10,0.40350877192982454,0.22265625,1024,ibm_torino,15,10,
batch_M2_N4_p0.8000_depolarizing,2,4,0.8,depolarizing,2,10,0.3082191780821918,0.28515625,1024,ibm_torino,15,10,
batch_M2_N4_p0.8000_dephasing,2,4,0.8,dephasing,2,10,0.7019607843137254,0.2490234375,1024,ibm_torino,15,10,
batch_M2_N4_p0.9000_depolarizing,2,4,0.9,depolarizing,2,10,0.27307692307692305,0.25390625,1024,ibm_torino,15,10,
batch_M2_N4_p0.9000_dephasing,2,4,0.9,dephasing,2,10,0.6900369003690037,0.2646484375,1024,ibm_torino,15,10,
batch_M2_N8_p0.6000_depolarizing,2,8,0.6,depolarizing,3,19,0.3125,0.171875,1024,ibm_torino,31,19,
batch_M2_N8_p0.6000_dephasing,2,8,0.6,dephasing,3,19,0.30201342281879195,0.1455078125,1024,ibm_torino,31,19,
batch_M2_N8_p0.7000_depolarizing,2,8,0.7,depolarizing,3,19,0.3611111111111111,0.140625,1024,ibm_torino,31,19,
batch_M2_N8_p0.7000_dephasing,2,8,0.7,dephasing,3,19,0.375,0.140625,1024,ibm_torino,31,19,
batch_M2_N8_p0.8000_depolarizing,2,8,0.8,depolarizing,3,19,0.3275862068965517,0.169921875,1024,ibm_torino,31,19,
batch_M2_N8_p0.8000_dephasing,2,8,0.8,dephasing,3,19,0.40939597315436244,0.1455078125,1024,ibm_torino,31,19,
batch_M2_N8_p0.9000_depolarizing,2,8,0.9,depolarizing,3,19,0.3488372093023256,0.1259765625,1024,ibm_torino,31,19,
batch_M2_N8_p0.9000_dephasing,2,8,0.9,dephasing,3,19,0.45161290322580644,0.1513671875,1024,ibm_torino,31,19,
batch_M2_N16_p0.0100_depolarizing,2,16,0.01,depolarizing,4,36,0.47368421052631576,0.0927734375,1024,ibm_torino,62,36,
batch_M2_N16_p0.0100_dephasing,2,16,0.01,dephasing,4,36,0.4,0.1123046875,1024,ibm_torino,62,36,
batch_M2_N16_p0.1000_depolarizing,2,16,0.1,depolarizing,4,36,0.35,0.09765625,1024,ibm_torino,63,36,
batch_M2_N16_p0.1000_dephasing,2,16,0.1,dephasing,4,36,0.39285714285714285,0.1640625,1024,ibm_torino,63,36,
batch_M2_N16_p0.2000_depolarizing,2,16,0.2,depolarizing,4,36,0.37735849056603776,0.103515625,1024,ibm_torino,63,36,
batch_M2_N16_p0.2000_dephasing,2,16,0.2,dephasing,4,36,0.23958333333333334,0.09375,1024,ibm_torino,63,36,
batch_M2_N16_p0.3000_depolarizing,2,16,0.3,depolarizing,4,36,0.4369747899159664,0.1162109375,1024,ibm_torino,63,36,
batch_M2_N16_p0.3000_dephasing,2,16,0.3,dephasing,4,36,0.32142857142857145,0.109375,1024,ibm_torino,63,36,
batch_M2_N16_p0.4000_depolarizing,2,16,0.4,depolarizing,4,36,0.424,0.1220703125,1024,ibm_torino,63,36,
batch_M2_N16_p0.4000_dephasing,2,16,0.4,dephasing,4,36,0.3364485981308411,0.1044921875,1024,ibm_torino,63,36,
batch_M2_N16_p0.5000_depolarizing,2,16,0.5,depolarizing,4,36,0.3333333333333333,0.1201171875,1024,ibm_torino,63,36,
batch_M2_N16_p0.5000_dephasing,2,16,0.5,dephasing,4,36,0.2621359223300971,0.1005859375,1024,ibm_torino,63,36,
batch_M2_N16_p0.6000_depolarizing,2,16,0.6,depolarizing,4,36,0.5420560747663551,0.1044921875,1024,ibm_torino,63,36,
batch_M2_N16_p0.6000_dephasing,2,16,0.6,dephasing,4,36,0.3611111111111111,0.10546875,1024,ibm_torino,63,36,
batch_M2_N16_p0.7000_depolarizing,2,16,0.7,depolarizing,4,36,0.28888888888888886,0.087890625,1024,ibm_torino,63,36,
batch_M2_N16_p0.7000_dephasing,2,16,0.7,dephasing,4,36,0.36036036036036034,0.1083984375,1024,ibm_torino,63,36,
batch_M2_N16_p0.8000_depolarizing,2,16,0.8,depolarizing,4,36,0.3,0.087890625,1024,ibm_torino,63,36,
batch_M2_N16_p0.8000_dephasing,2,16,0.8,dephasing,4,36,0.2727272727272727,0.0751953125,1024,ibm_torino,63,36,
batch_M2_N16_p0.9000_depolarizing,2,16,0.9,depolarizing,4,36,0.2777777777777778,0.087890625,1024,ibm_torino,63,36,
batch_M2_N16_p0.9000_dephasing,2,16,0.9,dephasing,4,36,0.2962962962962963,0.0791015625,1024,ibm_torino,63,36,
