run_id,M,N,p,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,error_message
batch_M1_N2_p0.0100,1,2,0.01,1,3,0.9439252336448598,0.5224609375,1024,ibm_torino,5,3,
batch_M1_N2_p0.1000,1,2,0.1,1,3,0.924865831842576,0.5458984375,1024,ibm_torino,5,3,
batch_M1_N2_p0.2000,1,2,0.2,1,3,0.9260628465804066,0.5283203125,1024,ibm_torino,5,3,
batch_M1_N2_p0.3000,1,2,0.3,1,3,0.9201596806387226,0.4892578125,1024,ibm_torino,5,3,
batch_M1_N4_p0.0100,1,4,0.01,2,6,0.9084668192219679,0.4267578125,1024,ibm_torino,11,6,
batch_M1_N4_p0.1000,1,4,0.1,2,6,0.8911290322580645,0.484375,1024,ibm_torino,11,6,
batch_M1_N4_p0.2000,1,4,0.2,2,6,0.7516778523489933,0.291015625,1024,ibm_torino,12,6,
batch_M1_N4_p0.3000,1,4,0.3,2,6,0.6900369003690037,0.2646484375,1024,ibm_torino,12,6,
batch_M1_N8_p0.0100,1,8,0.01,3,11,0.8417910447761194,0.3271484375,1024,ibm_torino,23,11,
batch_M1_N8_p0.1000,1,8,0.1,3,11,0.8525641025641025,0.3046875,1024,ibm_torino,23,11,
batch_M1_N8_p0.2000,1,8,0.2,3,11,0.7595628415300546,0.1787109375,1024,ibm_torino,24,11,
batch_M1_N8_p0.3000,1,8,0.3,3,11,0.7204301075268817,0.181640625,1024,ibm_torino,24,11,
batch_M2_N2_p0.0100,2,2,0.01,1,5,0.47435897435897434,0.533203125,1024,ibm_torino,6,5,
batch_M2_N2_p0.1000,2,2,0.1,1,5,0.2821497120921305,0.5087890625,1024,ibm_torino,7,5,
batch_M2_N2_p0.2000,2,2,0.2,1,5,0.5263157894736842,0.556640625,1024,ibm_torino,7,5,
batch_M2_N2_p0.3000,2,2,0.3,1,5,0.5018867924528302,0.517578125,1024,ibm_torino,7,5,
batch_M2_N4_p0.0100,2,4,0.01,2,10,0.6224188790560472,0.3310546875,1024,ibm_torino,14,10,
batch_M2_N4_p0.1000,2,4,0.1,2,10,0.38305084745762713,0.2880859375,1024,ibm_torino,15,10,
batch_M2_N4_p0.2000,2,4,0.2,2,10,0.3771626297577855,0.2822265625,1024,ibm_torino,15,10,
batch_M2_N4_p0.3000,2,4,0.3,2,10,0.3219814241486068,0.3154296875,1024,ibm_torino,15,10,
batch_M2_N8_p0.0100,2,8,0.01,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,"'The instruction cz on qubits (14, 15) is not supported by the target system. Circuits that do not match the target hardware definition are no longer supported after March 4, 2024. See the transpilation documentation (https://quantum.cloud.ibm.com/docs/guides/transpile) for instructions to transform circuits and the primitive examples (https://quantum.cloud.ibm.com/docs/guides/primitives-examples) to see this coupled with operator transformations.'"
batch_M2_N8_p0.1000,2,8,0.1,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,"'The instruction cz on qubits (14, 15) is not supported by the target system. Circuits that do not match the target hardware definition are no longer supported after March 4, 2024. See the transpilation documentation (https://quantum.cloud.ibm.com/docs/guides/transpile) for instructions to transform circuits and the primitive examples (https://quantum.cloud.ibm.com/docs/guides/primitives-examples) to see this coupled with operator transformations.'"
batch_M2_N8_p0.2000,2,8,0.2,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,"'The instruction cz on qubits (14, 15) is not supported by the target system. Circuits that do not match the target hardware definition are no longer supported after March 4, 2024. See the transpilation documentation (https://quantum.cloud.ibm.com/docs/guides/transpile) for instructions to transform circuits and the primitive examples (https://quantum.cloud.ibm.com/docs/guides/primitives-examples) to see this coupled with operator transformations.'"
batch_M2_N8_p0.3000,2,8,0.3,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,"'The instruction cz on qubits (14, 15) is not supported by the target system. Circuits that do not match the target hardware definition are no longer supported after March 4, 2024. See the transpilation documentation (https://quantum.cloud.ibm.com/docs/guides/transpile) for instructions to transform circuits and the primitive examples (https://quantum.cloud.ibm.com/docs/guides/primitives-examples) to see this coupled with operator transformations.'"
