run_id,M,N,p,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,error_message
batch_M1_N2_p0.0100,1,2,0.01,1,3,1.0,0.500244140625,8192,aer_simulator,5,3,
batch_M1_N2_p0.1000,1,2,0.1,1,3,1.0,0.508544921875,8192,aer_simulator,5,3,
batch_M1_N2_p0.2000,1,2,0.2,1,3,1.0,0.4906005859375,8192,aer_simulator,5,3,
batch_M1_N2_p0.3000,1,2,0.3,1,3,1.0,0.5029296875,8192,aer_simulator,5,3,
batch_M1_N4_p0.0100,1,4,0.01,2,6,1.0,0.492431640625,8192,aer_simulator,9,6,
batch_M1_N4_p0.1000,1,4,0.1,2,6,1.0,0.494384765625,8192,aer_simulator,9,6,
batch_M1_N4_p0.2000,1,4,0.2,2,6,0.7564356435643564,0.24658203125,8192,aer_simulator,9,6,
batch_M1_N4_p0.3000,1,4,0.3,2,6,0.7508616445100935,0.2479248046875,8192,aer_simulator,9,6,
batch_M1_N8_p0.0100,1,8,0.01,3,11,1.0,0.4971923828125,8192,aer_simulator,15,11,
batch_M1_N8_p0.1000,1,8,0.1,3,11,1.0,0.506103515625,8192,aer_simulator,15,11,
batch_M1_N8_p0.2000,1,8,0.2,3,11,0.915136162127929,0.1927490234375,8192,aer_simulator,15,11,
batch_M1_N8_p0.3000,1,8,0.3,3,11,0.9108843537414966,0.179443359375,8192,aer_simulator,15,11,
batch_M2_N2_p0.0100,2,2,0.01,1,5,0.5117112810707457,0.5107421875,8192,aer_simulator,6,5,
batch_M2_N2_p0.1000,2,2,0.1,1,5,0.26235554462748956,0.4964599609375,8192,aer_simulator,6,5,
batch_M2_N2_p0.2000,2,2,0.2,1,5,0.4917589175891759,0.4962158203125,8192,aer_simulator,6,5,
batch_M2_N2_p0.3000,2,2,0.3,1,5,0.511731581417175,0.520263671875,8192,aer_simulator,6,5,
batch_M2_N4_p0.0100,2,4,0.01,2,10,1.0,0.2569580078125,8192,aer_simulator,12,10,
batch_M2_N4_p0.1000,2,4,0.1,2,10,0.39154228855721396,0.245361328125,8192,aer_simulator,12,10,
batch_M2_N4_p0.2000,2,4,0.2,2,10,0.37603911980440097,0.2496337890625,8192,aer_simulator,12,10,
batch_M2_N4_p0.3000,2,4,0.3,2,10,0.37841869716558924,0.2454833984375,8192,aer_simulator,12,10,
batch_M2_N8_p0.0100,2,8,0.01,3,19,1.0,0.24365234375,8192,aer_simulator,22,19,
batch_M2_N8_p0.1000,2,8,0.1,3,19,0.3984375,0.125,8192,aer_simulator,22,19,
batch_M2_N8_p0.2000,2,8,0.2,3,19,0.606404958677686,0.1181640625,8192,aer_simulator,22,19,
batch_M2_N8_p0.3000,2,8,0.3,3,19,0.6630541871921182,0.1239013671875,8192,aer_simulator,22,19,
