run_id,M,N,p,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,error_message
batch_M1_N2_p0.0100,1,2,0.01,1,3,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N2_p0.1000,1,2,0.1,1,3,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N2_p0.2000,1,2,0.2,1,3,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N2_p0.3000,1,2,0.3,1,3,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N4_p0.0100,1,4,0.01,2,6,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N4_p0.1000,1,4,0.1,2,6,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N4_p0.2000,1,4,0.2,2,6,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N4_p0.3000,1,4,0.3,2,6,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N8_p0.0100,1,8,0.01,3,11,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N8_p0.1000,1,8,0.1,3,11,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N8_p0.2000,1,8,0.2,3,11,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M1_N8_p0.3000,1,8,0.3,3,11,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N2_p0.0100,2,2,0.01,1,5,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N2_p0.1000,2,2,0.1,1,5,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N2_p0.2000,2,2,0.2,1,5,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N2_p0.3000,2,2,0.3,1,5,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N4_p0.0100,2,4,0.01,2,10,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N4_p0.1000,2,4,0.1,2,10,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N4_p0.2000,2,4,0.2,2,10,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N4_p0.3000,2,4,0.3,2,10,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N8_p0.0100,2,8,0.01,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N8_p0.1000,2,8,0.1,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N8_p0.2000,2,8,0.2,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
batch_M2_N8_p0.3000,2,8,0.3,3,19,-1.0,-1.0,1024,ibm_torino,-1,-1,'DataBin' object has no attribute 'meas'
