noise_type,dimension,N,physical_error_rate,batch_memory,streaming_memory,memory_improvement_factor,batch_final_error,streaming_best_error,streaming_average_error,streaming_output_count,batch_swaps,streaming_swaps,batch_amplifications,streaming_amplifications,batch_convergence,streaming_convergence
depolarizing,2,8,0.01,8,3,2.6666666666666665,0.0006360686960057427,0.0006360686960057427,0.0006360686960057427,1,7,7,0,0,True,True
depolarizing,2,8,0.1,8,3,2.6666666666666665,0.007487790810549455,0.007487790810549455,0.007487790810549455,1,7,7,0,0,True,True
depolarizing,2,8,0.5,8,3,2.6666666666666665,0.0873170028292733,0.0873170028292733,0.0873170028292733,1,7,7,0,0,True,True
depolarizing,2,8,0.7,8,3,2.6666666666666665,0.19595745479515309,0.19595745479515309,0.19595745479515309,1,7,7,0,0,True,True
depolarizing,2,16,0.01,16,4,4.0,0.0003184390599783593,0.0003184390599783593,0.0003184390599783593,1,15,15,0,0,True,True
depolarizing,2,16,0.1,16,4,4.0,0.0038001707301427157,0.0038001707301427157,0.0038001707301427157,1,15,15,0,0,True,True
depolarizing,2,16,0.5,16,4,4.0,0.05158128504231457,0.05158128504231457,0.05158128504231457,1,15,15,0,0,True,True
depolarizing,2,16,0.7,16,4,4.0,0.13909373894318044,0.13909373894318044,0.13909373894318044,1,15,15,0,0,True,True
depolarizing,2,32,0.01,32,5,6.4,0.0001593209495643899,0.0001593209495643899,0.0001593209495643899,1,31,31,0,0,True,True
depolarizing,2,32,0.1,32,5,6.4,0.00191455399727819,0.00191455399727819,0.00191455399727819,1,31,31,0,0,True,True
depolarizing,2,32,0.5,32,5,6.4,0.028515977323784802,0.028515977323784802,0.028515977323784802,1,31,31,0,0,True,True
depolarizing,2,32,0.7,32,5,6.4,0.08999727799255686,0.08999727799255686,0.08999727799255686,1,31,31,0,0,True,True
depolarizing,2,64,0.01,64,6,10.666666666666666,7.968585996892541e-05,7.968585996892541e-05,7.968585996892541e-05,1,63,63,0,0,True,True
depolarizing,2,64,0.1,64,6,10.666666666666666,0.0009609460178189866,0.0009609460178189866,0.0009609460178189866,1,63,63,0,0,True,True
depolarizing,2,64,0.5,64,6,10.666666666666666,0.015082393932659255,0.015082393932659255,0.015082393932659255,1,63,63,0,0,True,True
depolarizing,2,64,0.7,64,6,10.666666666666666,0.053423673646459835,0.053423673646459835,0.053423673646459835,1,63,63,0,0,True,True
depolarizing,2,128,0.01,128,7,18.285714285714285,3.984928007372268e-05,3.984928007372268e-05,3.984928007372268e-05,1,127,127,0,0,True,True
depolarizing,2,128,0.1,128,7,18.285714285714285,0.00048139686940856796,0.00048139686940856796,0.00048139686940856796,1,127,127,0,0,True,True
depolarizing,2,128,0.5,128,7,18.285714285714285,0.007770364374534877,0.007770364374534877,0.007770364374534877,1,127,127,0,0,True,True
depolarizing,2,128,0.7,128,7,18.285714285714285,0.029637644659280205,0.029637644659280205,0.029637644659280205,1,127,127,0,0,True,True
depolarizing,2,256,0.01,256,8,32.0,1.992622803359545e-05,1.992622803359545e-05,1.992622803359545e-05,1,255,255,0,0,True,True
depolarizing,2,256,0.1,256,8,32.0,0.00024093023340343578,0.00024093023340343578,0.00024093023340343578,1,255,255,0,0,True,True
depolarizing,2,256,0.5,256,8,32.0,0.003945793480274018,0.003945793480274018,0.003945793480274018,1,255,255,0,0,True,True
depolarizing,2,256,0.7,256,8,32.0,0.01570982003546567,0.01570982003546567,0.01570982003546567,1,255,255,0,0,True,True
depolarizing,4,8,0.01,8,3,2.6666666666666665,0.000954118775006868,0.000954118775006868,0.000954118775006868,1,7,7,0,0,True,True
depolarizing,4,8,0.1,8,3,2.6666666666666665,0.011251116871142247,0.011251116871142247,0.011251116871142247,1,7,7,0,0,True,True
depolarizing,4,8,0.5,8,3,2.6666666666666665,0.13782499329979983,0.13782499329979983,0.13782499329979983,1,7,7,0,0,True,True
depolarizing,4,8,0.7,8,3,2.6666666666666665,0.3198921915759523,0.3198921915759523,0.3198921915759523,1,7,7,0,0,True,True
depolarizing,4,16,0.01,16,4,4.0,0.0004776665720273854,0.0004776665720273854,0.0004776665720273854,1,15,15,0,0,True,True
depolarizing,4,16,0.1,16,4,4.0,0.005710423099096612,0.005710423099096612,0.005710423099096612,1,15,15,0,0,True,True
depolarizing,4,16,0.5,16,4,4.0,0.0823905493372264,0.0823905493372264,0.0823905493372264,1,15,15,0,0,True,True
depolarizing,4,16,0.7,16,4,4.0,0.23652883522973522,0.23652883522973522,0.23652883522973522,1,15,15,0,0,True,True
depolarizing,4,32,0.01,32,5,6.4,0.00023898543257283578,0.00023898543257283578,0.00023898543257283578,1,31,31,0,0,True,True
depolarizing,4,32,0.1,32,5,6.4,0.002877012787612765,0.002877012787612765,0.002877012787612765,1,31,31,0,0,True,True
depolarizing,4,32,0.5,32,5,6.4,0.045900703786780045,0.045900703786780045,0.045900703786780045,1,31,31,0,0,True,True
depolarizing,4,32,0.7,32,5,6.4,0.1593328716040889,0.1593328716040889,0.1593328716040889,1,31,31,0,0,True,True
depolarizing,4,64,0.01,64,6,10.666666666666666,0.00011953079686052859,0.00011953079686052859,0.00011953079686052859,1,63,63,0,0,True,True
depolarizing,4,64,0.1,64,6,10.666666666666666,0.0014440324590539455,0.0014440324590539455,0.0014440324590539455,1,63,63,0,0,True,True
depolarizing,4,64,0.5,64,6,10.666666666666666,0.024386607073578093,0.024386607073578093,0.024386607073578093,1,63,63,0,0,True,True
depolarizing,4,64,0.7,64,6,10.666666666666666,0.09782929279053384,0.09782929279053384,0.09782929279053384,1,63,63,0,0,True,True
depolarizing,4,128,0.01,128,7,18.285714285714285,5.9774924073829894e-05,5.9774924073829894e-05,5.9774924073829894e-05,1,127,127,0,0,True,True
depolarizing,4,128,0.1,128,7,18.285714285714285,0.000723407385916891,0.000723407385916891,0.000723407385916891,1,127,127,0,0,True,True
depolarizing,4,128,0.5,128,7,18.285714285714285,0.012594566671576851,0.012594566671576851,0.012594566671576851,1,127,127,0,0,True,True
depolarizing,4,128,0.7,128,7,18.285714285714285,0.05559372739162166,0.05559372739162166,0.05559372739162166,1,127,127,0,0,True,True
depolarizing,4,256,0.01,256,8,32.0,2.988984413584972e-05,2.988984413584972e-05,2.988984413584972e-05,1,255,255,0,0,True,True
depolarizing,4,256,0.1,256,8,32.0,0.0003620526979493943,0.0003620526979493943,0.0003620526979493943,1,255,255,0,0,True,True
depolarizing,4,256,0.5,256,8,32.0,0.006403695102960905,0.006403695102960905,0.006403695102960905,1,255,255,0,0,True,True
depolarizing,4,256,0.7,256,8,32.0,0.029913333125375224,0.029913333125375224,0.029913333125375224,1,255,255,0,0,True,True
depolarizing,8,8,0.01,8,3,2.6666666666666665,0.001113147777364168,0.001113147777364168,0.001113147777364168,1,7,7,0,0,True,True
depolarizing,8,8,0.1,8,3,2.6666666666666665,0.013138035355599584,0.013138035355599584,0.013138035355599584,1,7,7,0,0,True,True
depolarizing,8,8,0.5,8,3,2.6666666666666665,0.16580981967897823,0.16580981967897823,0.16580981967897823,1,7,7,0,0,True,True
depolarizing,8,8,0.7,8,3,2.6666666666666665,0.3938558059151294,0.3938558059151294,0.3938558059151294,1,7,7,0,0,True,True
depolarizing,8,16,0.01,16,4,4.0,0.0005572823386898323,0.0005572823386898323,0.0005572823386898323,1,15,15,0,0,True,True
depolarizing,8,16,0.1,16,4,4.0,0.0066682974311099985,0.0066682974311099985,0.0066682974311099985,1,15,15,0,0,True,True
depolarizing,8,16,0.5,16,4,4.0,0.09985721558645191,0.09985721558645191,0.09985721558645191,1,15,15,0,0,True,True
depolarizing,8,16,0.7,16,4,4.0,0.2993845657194325,0.2993845657194325,0.2993845657194325,1,15,15,0,0,True,True
depolarizing,8,32,0.01,32,5,6.4,0.0002788186837070078,0.0002788186837070078,0.0002788186837070078,1,31,31,0,0,True,True
depolarizing,8,32,0.1,32,5,6.4,0.003359642602157223,0.003359642602157223,0.003359642602157223,1,31,31,0,0,True,True
depolarizing,8,32,0.5,32,5,6.4,0.05590480934800024,0.05590480934800024,0.05590480934800024,1,31,31,0,0,True,True
depolarizing,8,32,0.7,32,5,6.4,0.2076185279449702,0.2076185279449702,0.2076185279449702,1,31,31,0,0,True,True
depolarizing,8,64,0.01,64,6,10.666666666666666,0.00013945377082243138,0.00013945377082243138,0.00013945377082243138,1,63,63,0,0,True,True
depolarizing,8,64,0.1,64,6,10.666666666666666,0.001686281958014263,0.001686281958014263,0.001686281958014263,1,63,63,0,0,True,True
depolarizing,8,64,0.5,64,6,10.666666666666666,0.029787722461039987,0.029787722461039987,0.029787722461039987,1,63,63,0,0,True,True
depolarizing,8,64,0.7,64,6,10.666666666666666,0.13082803337969434,0.13082803337969434,0.13082803337969434,1,63,63,0,0,True,True
depolarizing,8,128,0.01,128,7,18.285714285714285,6.97379989598873e-05,6.97379989598873e-05,6.97379989598873e-05,1,127,127,0,0,True,True
depolarizing,8,128,0.1,128,7,18.285714285714285,0.0008447672325901795,0.0008447672325901795,0.0008447672325901795,1,127,127,0,0,True,True
depolarizing,8,128,0.5,128,7,18.285714285714285,0.015408409242946577,0.015408409242946577,0.015408409242946577,1,127,127,0,0,True,True
depolarizing,8,128,0.7,128,7,18.285714285714285,0.07581363556274523,0.07581363556274523,0.07581363556274523,1,127,127,0,0,True,True
depolarizing,8,256,0.01,256,8,32.0,3.487177865593716e-05,3.487177865593716e-05,3.487177865593716e-05,1,255,255,0,0,True,True
depolarizing,8,256,0.1,256,8,32.0,0.000422791578047671,0.000422791578047671,0.000422791578047671,1,255,255,0,0,True,True
depolarizing,8,256,0.5,256,8,32.0,0.007840915398510478,0.007840915398510478,0.007840915398510478,1,255,255,0,0,True,True
depolarizing,8,256,0.7,256,8,32.0,0.04131382853398467,0.04131382853398467,0.04131382853398467,1,255,255,0,0,True,True
depolarizing,16,8,0.01,8,3,2.6666666666666665,0.0011926632730534584,0.0011926632730534584,0.0011926632730534584,1,7,7,0,0,True,True
depolarizing,16,8,0.1,8,3,2.6666666666666665,0.014082862858010095,0.014082862858010095,0.014082862858010095,1,7,7,0,0,True,True
depolarizing,16,8,0.5,8,3,2.6666666666666665,0.1807006582534289,0.1807006582534289,0.1807006582534289,1,7,7,0,0,True,True
depolarizing,16,8,0.7,8,3,2.6666666666666665,0.43519455257389367,0.43519455257389367,0.43519455257389367,1,7,7,0,0,True,True
depolarizing,16,16,0.01,16,4,4.0,0.0005970907265875902,0.0005970907265875902,0.0005970907265875902,1,15,15,0,0,True,True
depolarizing,16,16,0.1,16,4,4.0,0.007147949857228726,0.007147949857228726,0.007147949857228726,1,15,15,0,0,True,True
depolarizing,16,16,0.5,16,4,4.0,0.10928314715397333,0.10928314715397333,0.10928314715397333,1,15,15,0,0,True,True
depolarizing,16,16,0.7,16,4,4.0,0.3362948727688227,0.3362948727688227,0.3362948727688227,1,15,15,0,0,True,True
depolarizing,16,32,0.01,32,5,6.4,0.0002987355626367372,0.0002987355626367372,0.0002987355626367372,1,31,31,0,0,True,True
depolarizing,16,32,0.1,32,5,6.4,0.0036013219687630604,0.0036013219687630604,0.0036013219687630604,1,31,31,0,0,True,True
depolarizing,16,32,0.5,32,5,6.4,0.06135381186945118,0.06135381186945118,0.06135381186945118,1,31,31,0,0,True,True
depolarizing,16,32,0.7,32,5,6.4,0.23744752387987736,0.23744752387987736,0.23744752387987736,1,31,31,0,0,True,True
depolarizing,16,64,0.01,64,6,10.666666666666666,0.00014941538466026194,0.00014941538466026194,0.00014941538466026194,1,63,63,0,0,True,True
depolarizing,16,64,0.1,64,6,10.666666666666666,0.0018075905138971449,0.0018075905138971449,0.0018075905138971449,1,63,63,0,0,True,True
depolarizing,16,64,0.5,64,6,10.666666666666666,0.03274571575836046,0.03274571575836046,0.03274571575836046,1,63,63,0,0,True,True
depolarizing,16,64,0.7,64,6,10.666666666666666,0.15215709484754578,0.15215709484754578,0.15215709484754578,1,63,63,0,0,True,True
depolarizing,16,128,0.01,128,7,18.285714285714285,7.471959986342369e-05,7.471959986342369e-05,7.471959986342369e-05,1,127,127,0,0,True,True
depolarizing,16,128,0.1,128,7,18.285714285714285,0.0009055394362284322,0.0009055394362284322,0.0009055394362284322,1,127,127,0,0,True,True
depolarizing,16,128,0.5,128,7,18.285714285714285,0.01695407827671122,0.01695407827671122,0.01695407827671122,1,127,127,0,0,True,True
depolarizing,16,128,0.7,128,7,18.285714285714285,0.08934099076000117,0.08934099076000117,0.08934099076000117,1,127,127,0,0,True,True
depolarizing,16,256,0.01,256,8,32.0,3.7362777652906465e-05,3.7362777652906465e-05,3.7362777652906465e-05,1,255,255,0,0,True,True
depolarizing,16,256,0.1,256,8,32.0,0.00045320725033815706,0.00045320725033815706,0.00045320725033815706,1,255,255,0,0,True,True
depolarizing,16,256,0.5,256,8,32.0,0.008631638730788836,0.008631638730788836,0.008631638730788836,1,255,255,0,0,True,True
depolarizing,16,256,0.7,256,8,32.0,0.04911550019996505,0.04911550019996505,0.04911550019996505,1,255,255,0,0,True,True
depolarizing,32,8,0.01,8,3,2.6666666666666665,0.0012324212700025802,0.0012324212700025802,0.0012324212700025802,1,7,7,0,0,True,True
depolarizing,32,8,0.1,8,3,2.6666666666666665,0.014555625795175178,0.014555625795175178,0.014555625795175178,1,7,7,0,0,True,True
depolarizing,32,8,0.5,8,3,2.6666666666666665,0.18840732019269624,0.18840732019269624,0.18840732019269624,1,7,7,0,0,True,True
depolarizing,32,8,0.7,8,3,2.6666666666666665,0.4572075822263891,0.4572075822263891,0.4572075822263891,1,7,7,0,0,True,True
depolarizing,32,16,0.01,16,4,4.0,0.0006169950469174963,0.0006169950469174963,0.0006169950469174963,1,15,15,0,0,True,True
depolarizing,32,16,0.1,16,4,4.0,0.007387958579898584,0.007387958579898584,0.007387958579898584,1,15,15,0,0,True,True
depolarizing,32,16,0.5,16,4,4.0,0.11420003953314606,0.11420003953314606,0.11420003953314606,1,15,15,0,0,True,True
depolarizing,32,16,0.7,16,4,4.0,0.3565103783447566,0.3565103783447566,0.3565103783447566,1,15,15,0,0,True,True
depolarizing,32,32,0.01,32,5,6.4,0.0003086940655621269,0.0003086940655621269,0.0003086940655621269,1,31,31,0,0,True,True
depolarizing,32,32,0.1,32,5,6.4,0.003722254646013768,0.003722254646013768,0.003722254646013768,1,31,31,0,0,True,True
depolarizing,32,32,0.5,32,5,6.4,0.06421105858502041,0.06421105858502041,0.06421105858502041,1,31,31,0,0,True,True
depolarizing,32,32,0.7,32,5,6.4,0.2542770673409352,0.2542770673409352,0.2542770673409352,1,31,31,0,0,True,True
depolarizing,32,64,0.01,64,6,10.666666666666666,0.00015439622335354855,0.00015439622335354855,0.00015439622335354855,1,63,63,0,0,True,True
depolarizing,32,64,0.1,64,6,10.666666666666666,0.0018682916908057332,0.0018682916908057332,0.0018682916908057332,1,63,63,0,0,True,True
depolarizing,32,64,0.5,64,6,10.666666666666666,0.034301575947016744,0.034301575947016744,0.034301575947016744,1,63,63,0,0,True,True
depolarizing,32,64,0.7,64,6,10.666666666666666,0.16452617156623753,0.16452617156623753,0.16452617156623753,1,63,63,0,0,True,True
depolarizing,32,128,0.01,128,7,18.285714285714285,7.721041621060534e-05,7.721041621060534e-05,7.721041621060534e-05,1,127,127,0,0,True,True
depolarizing,32,128,0.1,128,7,18.285714285714285,0.0009359490837450336,0.0009359490837450336,0.0009359490837450336,1,127,127,0,0,True,True
depolarizing,32,128,0.5,128,7,18.285714285714285,0.01776846121632946,0.01776846121632946,0.01776846121632946,1,127,127,0,0,True,True
