noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,2,8,0.01,0,1,3,4,3.0,7,0,0.0006360686960057427,0.0006360686960057427,0.0006360686960057427,2.6666666666666665,[3],True,Depolarizing_d2_delta0.010
depolarizing,2,8,0.1,0,1,3,4,3.0,7,0,0.007487790810549455,0.007487790810549455,0.007487790810549455,2.6666666666666665,[3],True,Depolarizing_d2_delta0.100
depolarizing,2,8,0.5,0,1,3,4,3.0,7,0,0.0873170028292733,0.0873170028292733,0.0873170028292733,2.6666666666666665,[3],True,Depolarizing_d2_delta0.500
depolarizing,2,8,0.7,0,1,3,4,3.0,7,0,0.19595745479515309,0.19595745479515309,0.19595745479515309,2.6666666666666665,[3],True,Depolarizing_d2_delta0.700
depolarizing,2,8,0.8,0,1,3,4,3.0,7,0,0.27998595388191233,0.27998595388191233,0.27998595388191233,2.6666666666666665,[3],True,Depolarizing_d2_delta0.800
depolarizing,2,8,0.9,0,1,3,4,3.0,7,0,0.3837686931851726,0.3837686931851726,0.3837686931851726,2.6666666666666665,[3],True,Depolarizing_d2_delta0.900
depolarizing,2,8,0.95,0,1,3,4,3.0,7,0,0.44103211561154715,0.44103211561154715,0.44103211561154715,2.6666666666666665,[3],True,Depolarizing_d2_delta0.950
depolarizing,2,8,0.99,0,1,3,4,3.0,7,0,0.488150493528762,0.488150493528762,0.488150493528762,2.6666666666666665,[3],True,Depolarizing_d2_delta0.990
depolarizing,2,16,0.01,0,1,4,5,4.0,15,0,0.0003184390599783593,0.0003184390599783593,0.0003184390599783593,4.0,[4],True,Depolarizing_d2_delta0.010
depolarizing,2,16,0.1,0,1,4,5,4.0,15,0,0.0038001707301427157,0.0038001707301427157,0.0038001707301427157,4.0,[4],True,Depolarizing_d2_delta0.100
depolarizing,2,16,0.5,0,1,4,5,4.0,15,0,0.05158128504231457,0.05158128504231457,0.05158128504231457,4.0,[4],True,Depolarizing_d2_delta0.500
depolarizing,2,16,0.7,0,1,4,5,4.0,15,0,0.13909373894318044,0.13909373894318044,0.13909373894318044,4.0,[4],True,Depolarizing_d2_delta0.700
depolarizing,2,16,0.8,0,1,4,5,4.0,15,0,0.22443343814890537,0.22443343814890537,0.22443343814890537,4.0,[4],True,Depolarizing_d2_delta0.800
