run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.10000_twirl_ell0,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999996,0.8999999999999996,0.1,0.1,0.8199999999999994,0.8199999999999994,1.0,0,True,1,0,0.7999999999999997,0.7999999999999997
M1_N2_dephase_z_iid_p_p0.10000_twirl_ell1,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999996,0.9395604395604392,0.1,0.0604395604395603,0.8199999999999994,0.8864267600531336,0.6043956043956037,1,True,1,1,0.7999999999999997,0.879120879120879
M1_N2_dephase_z_iid_p_p0.10000_twirl_ell2,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999996,0.9660243894632394,0.1,0.0339756105367601,0.8199999999999994,0.9343574631491708,0.3397561053676017,2,True,1,2,0.7999999999999997,0.9320487789264794
M1_N2_dephase_z_iid_p_p0.10000_twirl_ell3,1,2,dephase_z,iid_p,0.1,0.1,0.8999999999999996,0.9818389551479724,0.1,0.0181610448520272,0.8199999999999994,0.96433755739618,0.1816104485202723,3,True,1,3,0.7999999999999997,0.9636779102959452
M1_N2_dephase_z_iid_p_p0.20000_twirl_ell0,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999996,0.7999999999999996,0.2,0.2,0.6799999999999995,0.6799999999999995,1.0,0,True,1,0,0.5999999999999998,0.5999999999999998
M1_N2_dephase_z_iid_p_p0.20000_twirl_ell1,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999996,0.857142857142857,0.2,0.1428571428571427,0.6799999999999995,0.7551020408163265,0.7142857142857136,1,True,1,1,0.5999999999999998,0.7142857142857143
M1_N2_dephase_z_iid_p_p0.20000_twirl_ell2,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999996,0.9069767441860463,0.2,0.0930232558139533,0.6799999999999995,0.8312601406165496,0.4651162790697666,2,True,1,2,0.5999999999999998,0.8139534883720931
M1_N2_dephase_z_iid_p_p0.20000_twirl_ell3,1,2,dephase_z,iid_p,0.2,0.2,0.7999999999999996,0.9444772593030122,0.2,0.0555227406969874,0.6799999999999995,0.8951200680750346,0.2776137034849374,3,True,1,3,0.5999999999999998,0.8889545186060248
M1_N2_dephase_z_iid_p_p0.30000_twirl_ell0,1,2,dephase_z,iid_p,0.3,0.3,0.6999999999999998,0.6999999999999998,0.2999999999999999,0.2999999999999999,0.5799999999999997,0.5799999999999997,1.0,0,True,1,0,0.3999999999999999,0.3999999999999999
M1_N2_dephase_z_iid_p_p0.30000_twirl_ell1,1,2,dephase_z,iid_p,0.3,0.3,0.6999999999999998,0.7531645569620251,0.2999999999999999,0.2468354430379746,0.5799999999999997,0.628184585803557,0.8227848101265822,1,True,1,1,0.3999999999999999,0.5063291139240506
M1_N2_dephase_z_iid_p_p0.30000_twirl_ell2,1,2,dephase_z,iid_p,0.3,0.3,0.6999999999999998,0.8109777099837621,0.2999999999999999,0.1890222900162376,0.5799999999999997,0.6934142722134898,0.6300743000541257,2,True,1,2,0.3999999999999999,0.6219554199675245
M1_N2_dephase_z_iid_p_p0.30000_twirl_ell3,1,2,dephase_z,iid_p,0.3,0.3,0.6999999999999998,0.8672789524529967,0.2999999999999999,0.1327210475470031,0.5799999999999997,0.7697876578299414,0.4424034918233437,3,True,1,3,0.3999999999999999,0.7345579049059936
M1_N2_dephase_z_iid_p_p0.40000_twirl_ell0,1,2,dephase_z,iid_p,0.4,0.4,0.5999999999999998,0.5999999999999998,0.3999999999999999,0.3999999999999999,0.5199999999999998,0.5199999999999998,1.0,0,True,1,0,0.1999999999999999,0.1999999999999999
M1_N2_dephase_z_iid_p_p0.40000_twirl_ell1,1,2,dephase_z,iid_p,0.4,0.4,0.5999999999999998,0.6315789473684208,0.3999999999999999,0.3684210526315788,0.5199999999999998,0.5346260387811634,0.9210526315789472,1,True,1,1,0.1999999999999999,0.263157894736842
