noise_type,dimension,N,physical_error_rate,total_swap_operations,total_amplification_iterations,memory_levels_used,theoretical_memory,memory_efficiency,gate_complexity
depolarizing,2,8,0.3,7,0,3,3,1.0,28
depolarizing,2,16,0.3,15,0,4,4,1.0,60
depolarizing,2,32,0.3,31,0,5,5,1.0,124
depolarizing,2,64,0.3,63,0,6,6,1.0,252
depolarizing,3,8,0.3,7,0,3,3,1.0,28
depolarizing,3,16,0.3,15,0,4,4,1.0,60
depolarizing,3,32,0.3,31,0,5,5,1.0,124
depolarizing,3,64,0.3,63,0,6,6,1.0,252
depolarizing,4,8,0.3,7,0,3,3,1.0,28
depolarizing,4,16,0.3,15,0,4,4,1.0,60
depolarizing,4,32,0.3,31,0,5,5,1.0,124
depolarizing,4,64,0.3,63,0,6,6,1.0,252
symmetric_pauli,2,8,0.3,7,0,3,3,1.0,28
symmetric_pauli,2,16,0.3,15,0,4,4,1.0,60
symmetric_pauli,2,32,0.3,31,0,5,5,1.0,124
symmetric_pauli,2,64,0.3,63,0,6,6,1.0,252
dephasing,2,8,0.3,7,0,3,3,1.0,28
dephasing,2,16,0.3,15,0,4,4,1.0,60
dephasing,2,32,0.3,31,0,5,5,1.0,124
dephasing,2,64,0.3,63,0,6,6,1.0,252
