run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,0.9933333333,0.006666666667,0.006666666667,0.9867555556,0.9867555556,1,0,1,0,TRUE,0.9866666667,0.9866666667
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,0.999954959,0.006666666667,4.50E-05,0.9867555556,0.9999099221,0.006756148095,1,1,1,TRUE,0.9866666667,0.999909918
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,0.999999998,0.006666666667,2.03E-09,0.9867555556,0.9999999959,3.04E-07,2,1,2,TRUE,0.9866666667,0.9999999959
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,3,1,3,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,4,1,4,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,5,1,5,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,6,1,6,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,7,1,7,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,8,1,8,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,9,1,9,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.01000,1,2,depolarizing,iid_p,0.01,0.01,0.9933333333,1,0.006666666667,1.11E-16,0.9867555556,1,1.67E-14,10,1,10,TRUE,0.9866666667,1
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,0.9333333333,0.06666666667,0.06666666667,0.8755555556,0.8755555556,1,0,1,0,TRUE,0.8666666667,0.8666666667
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,0.9949238579,0.06666666667,0.005076142132,0.8755555556,0.9898992502,0.07614213198,1,1,1,TRUE,0.8666666667,0.9898477157
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,0.9999739699,0.06666666667,2.60E-05,0.8755555556,0.9999479411,0.0003904521436,2,1,2,TRUE,0.8666666667,0.9999479397
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,0.9999999993,0.06666666667,6.78E-10,0.8755555556,0.9999999986,1.02E-08,3,1,3,TRUE,0.8666666667,0.9999999986
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,1,0.06666666667,1.11E-16,0.8755555556,1,1.67E-15,4,1,4,TRUE,0.8666666667,1
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,1,0.06666666667,1.11E-16,0.8755555556,1,1.67E-15,5,1,5,TRUE,0.8666666667,1
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,1,0.06666666667,1.11E-16,0.8755555556,1,1.67E-15,6,1,6,TRUE,0.8666666667,1
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,1,0.06666666667,1.11E-16,0.8755555556,1,1.67E-15,7,1,7,TRUE,0.8666666667,1
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,1,0.06666666667,1.11E-16,0.8755555556,1,1.67E-15,8,1,8,TRUE,0.8666666667,1
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,1,0.06666666667,1.11E-16,0.8755555556,1,1.67E-15,9,1,9,TRUE,0.8666666667,1
M1_N2_depolarizing_iid_p_p0.10000,1,2,depolarizing,iid_p,0.1,0.1,0.9333333333,1,0.06666666667,1.11E-16,0.8755555556,1,1.67E-15,10,1,10,TRUE,0.8666666667,1
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,0.8666666667,0.1333333333,0.1333333333,0.7688888889,0.7688888889,1,0,1,0,TRUE,0.7333333333,0.7333333333
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,0.9768786127,0.1333333333,0.02312138728,0.7688888889,0.9548264225,0.1734104046,1,1,1,TRUE,0.7333333333,0.9537572254
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,0.9994401092,0.1333333333,0.0005598908213,0.7688888889,0.9988808453,0.00419918116,2,1,2,TRUE,0.7333333333,0.9988802184
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,0.9999996862,0.1333333333,3.14E-07,0.7688888889,0.9999993723,2.35E-06,3,1,3,TRUE,0.7333333333,0.9999993723
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,1,0.1333333333,9.83E-14,0.7688888889,1,7.37E-13,4,1,4,TRUE,0.7333333333,1
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,1,0.1333333333,1.11E-16,0.7688888889,1,8.33E-16,5,1,5,TRUE,0.7333333333,1
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,1,0.1333333333,1.11E-16,0.7688888889,1,8.33E-16,6,1,6,TRUE,0.7333333333,1
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,1,0.1333333333,1.11E-16,0.7688888889,1,8.33E-16,7,1,7,TRUE,0.7333333333,1
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,1,0.1333333333,1.11E-16,0.7688888889,1,8.33E-16,8,1,8,TRUE,0.7333333333,1
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,1,0.1333333333,1.11E-16,0.7688888889,1,8.33E-16,9,1,9,TRUE,0.7333333333,1
M1_N2_depolarizing_iid_p_p0.20000,1,2,depolarizing,iid_p,0.2,0.2,0.8666666667,1,0.1333333333,1.11E-16,0.7688888889,1,8.33E-16,10,1,10,TRUE,0.7333333333,1
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,0.8,0.2,0.2,0.68,0.68,1,0,1,0,TRUE,0.6,0.6
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,0.9411764706,0.2,0.05882352941,0.68,0.8892733564,0.2941176471,1,1,1,TRUE,0.6,0.8823529412
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,0.9961089494,0.2,0.003891050584,0.68,0.9922481794,0.01945525292,2,1,2,TRUE,0.6,0.9922178988
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,0.9999847414,0.2,1.53E-05,0.68,0.9999694834,7.63E-05,3,1,3,TRUE,0.6,0.9999694829
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,0.9999999998,0.2,2.33E-10,0.68,0.9999999995,1.16E-09,4,1,4,TRUE,0.6,0.9999999995
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,1,0.2,1.11E-16,0.68,1,5.55E-16,5,1,5,TRUE,0.6,1
M1_N2_depolarizing_iid_p_p0.30000,1,2,depolarizing,iid_p,0.3,0.3,0.8,1,0.2,1.11E-16,0.68,1,5.55E-16,6,1,6,TRUE,0.6,1
