run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,0,1,1,depolarizing,iid_p,0.01,0.01,1,0,TRUE,0,0.9933333333,0.006666666667,0.9867555556,0.9866666667,1,0.9933333333,0.006666666667,0.006666666667,0.9867555556,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,1,2,2,depolarizing,iid_p,0.01,0.01,1,0,TRUE,1,0.999954959,4.50E-05,0.9999099221,0.999909918,1,0.9933333333,4.50E-05,0.006666666667,0.9999099221,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,2,4,4,depolarizing,iid_p,0.01,0.01,1,0,TRUE,2,0.999999998,2.03E-09,0.9999999959,0.9999999959,1,0.9933333333,2.03E-09,0.006666666667,0.9999999959,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,3,8,8,depolarizing,iid_p,0.01,0.01,1,0,TRUE,3,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,4,16,16,depolarizing,iid_p,0.01,0.01,1,0,TRUE,4,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,5,32,32,depolarizing,iid_p,0.01,0.01,1,0,TRUE,5,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,6,64,64,depolarizing,iid_p,0.01,0.01,1,0,TRUE,6,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,7,128,128,depolarizing,iid_p,0.01,0.01,1,0,TRUE,7,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,8,256,256,depolarizing,iid_p,0.01,0.01,1,0,TRUE,8,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,9,512,512,depolarizing,iid_p,0.01,0.01,1,0,TRUE,9,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.01000,1,0,1,10,1024,1024,depolarizing,iid_p,0.01,0.01,1,0,TRUE,10,1,1.11E-16,1,1,1,0.9933333333,1.11E-16,0.006666666667,1,0.9867555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,0,1,1,depolarizing,iid_p,0.1,0.1,1,0,TRUE,0,0.9333333333,0.06666666667,0.8755555556,0.8666666667,1,0.9333333333,0.06666666667,0.06666666667,0.8755555556,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,1,2,2,depolarizing,iid_p,0.1,0.1,1,0,TRUE,1,0.9949238579,0.005076142132,0.9898992502,0.9898477157,1,0.9333333333,0.005076142132,0.06666666667,0.9898992502,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,2,4,4,depolarizing,iid_p,0.1,0.1,1,0,TRUE,2,0.9999739699,2.60E-05,0.9999479411,0.9999479397,1,0.9333333333,2.60E-05,0.06666666667,0.9999479411,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,3,8,8,depolarizing,iid_p,0.1,0.1,1,0,TRUE,3,0.9999999993,6.78E-10,0.9999999986,0.9999999986,1,0.9333333333,6.78E-10,0.06666666667,0.9999999986,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,4,16,16,depolarizing,iid_p,0.1,0.1,1,0,TRUE,4,1,1.11E-16,1,1,1,0.9333333333,1.11E-16,0.06666666667,1,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,5,32,32,depolarizing,iid_p,0.1,0.1,1,0,TRUE,5,1,1.11E-16,1,1,1,0.9333333333,1.11E-16,0.06666666667,1,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,6,64,64,depolarizing,iid_p,0.1,0.1,1,0,TRUE,6,1,1.11E-16,1,1,1,0.9333333333,1.11E-16,0.06666666667,1,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,7,128,128,depolarizing,iid_p,0.1,0.1,1,0,TRUE,7,1,1.11E-16,1,1,1,0.9333333333,1.11E-16,0.06666666667,1,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,8,256,256,depolarizing,iid_p,0.1,0.1,1,0,TRUE,8,1,1.11E-16,1,1,1,0.9333333333,1.11E-16,0.06666666667,1,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,9,512,512,depolarizing,iid_p,0.1,0.1,1,0,TRUE,9,1,1.11E-16,1,1,1,0.9333333333,1.11E-16,0.06666666667,1,0.8755555556
M1_N2_depolarizing_iid_p_p0.10000,1,0,1,10,1024,1024,depolarizing,iid_p,0.1,0.1,1,0,TRUE,10,1,1.11E-16,1,1,1,0.9333333333,1.11E-16,0.06666666667,1,0.8755555556
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,0,1,1,depolarizing,iid_p,0.2,0.2,1,0,TRUE,0,0.8666666667,0.1333333333,0.7688888889,0.7333333333,1,0.8666666667,0.1333333333,0.1333333333,0.7688888889,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,1,2,2,depolarizing,iid_p,0.2,0.2,1,0,TRUE,1,0.9768786127,0.02312138728,0.9548264225,0.9537572254,1,0.8666666667,0.02312138728,0.1333333333,0.9548264225,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,2,4,4,depolarizing,iid_p,0.2,0.2,1,0,TRUE,2,0.9994401092,0.0005598908213,0.9988808453,0.9988802184,1,0.8666666667,0.0005598908213,0.1333333333,0.9988808453,0.7688888889
M1_N2_depolarizing_iid_p_p0.20000,1,0,1,3,8,8,depolarizing,iid_p,0.2,0.2,1,0,TRUE,3,0.9999996862,3.14E-07,0.9999993723,0.9999993723,1,0.8666666667,3.14E-07,0.1333333333,0.9999993723,0.7688888889
