noise_type,error_rate,final_logical_error
depolarizing,0.01,7.968585996886792e-05
depolarizing,0.1,0.0009609460178190007
depolarizing,0.5,0.015082393932659283
depolarizing,0.7,0.0534236736464599
depolarizing,0.8,0.11263810068147194
depolarizing,0.9,0.2503784231771741
depolarizing,0.95,0.36393976577517656
depolarizing,0.99,0.47194346187633507
dephasing_z,0.01,0.0
dephasing_z,0.1,0.0
dephasing_z,0.5,0.0
dephasing_z,0.7,0.0
dephasing_z,0.8,0.0
dephasing_z,0.9,0.0
dephasing_z,0.95,0.0
dephasing_z,0.99,0.0
dephasing_x,0.01,0.00016258702577610646
dephasing_x,0.1,0.002420885915612195
dephasing_x,0.5,0.5
dephasing_x,0.7,0.9724623675320404
dephasing_x,0.8,0.991511361508812
dephasing_x,0.9,0.9975791140843878
dephasing_x,0.95,0.999039053982181
dephasing_x,0.99,0.9998374129742239
