M,N,physical_error_rate,final_logical_error,error_reduction_ratio
1,8,0.1,0.007487790810549484,0.14975581621098977
1,8,0.2,0.018161044852027304,0.18161044852027305
1,8,0.30000000000000004,0.03346617716880623,0.2231078477920415
1,8,0.4,0.05552274069698753,0.2776137034849377
1,8,0.5,0.08731700282927327,0.34926801131709306
1,8,0.6,0.13272104754700323,0.44240349182334404
1,8,0.7000000000000001,0.19595745479515322,0.5598784422718662
1,8,0.8,0.27998595388191233,0.6999648847047808
1,8,0.9,0.38376869318517254,0.8528193181892724
1,16,0.1,0.0038001707301427686,0.07600341460285542
1,16,0.2,0.009413284561262024,0.09413284561262025
1,16,0.30000000000000004,0.017871144567759865,0.11914096378506575
1,16,0.4,0.030924433981125474,0.15462216990562738
1,16,0.5,0.05158128504231455,0.2063251401692582
1,16,0.6,0.08494574100110652,0.2831524700036884
1,16,0.7000000000000001,0.1390937389431806,0.3974106826948016
1,16,0.8,0.2244334381489054,0.5610835953722635
1,16,0.9,0.34776708891191377,0.7728157531375862
1,32,0.1,0.0019145539972782238,0.0382910799455645
1,32,0.2,0.004795665261973074,0.04795665261973074
1,32,0.30000000000000004,0.009257751075557402,0.061718340503716
1,32,0.4,0.016432838465105012,0.08216419232552506
1,32,0.5,0.02851597732378479,0.11406390929513915
1,32,0.6,0.04996449853443864,0.16654832844812878
1,32,0.7000000000000001,0.08999727799255694,0.257135079978734
1,32,0.8,0.16635883220815217,0.41589708052038044
1,32,0.9,0.30310674969180035,0.6735705548706675
2,8,0.1,0.02553755741038894,0.1792109291957119
2,8,0.2,0.07036275274161467,0.2606027879319063
2,8,0.30000000000000004,0.1442045987967351,0.3770054870502879
2,8,0.4,0.2523088171323477,0.5256433690257244
2,8,0.5,0.38471155781647304,0.6839316583403965
2,8,0.6,0.5160425380345584,0.8191151397373942
2,8,0.7000000000000001,0.6227532302528745,0.9124589454254572
2,8,0.8,0.6958079864887582,0.9663999812343864
2,8,0.9,0.7368850822757063,0.9924378212467424
2,16,0.1,0.013209057229550836,0.09269513845298835
2,16,0.2,0.038594777635823335,0.1429436208734198
2,16,0.30000000000000004,0.08689400343809106,0.22717386519762373
2,16,0.4,0.17309074513170547,0.3606057190243864
2,16,0.5,0.3039719662519453,0.540394606670125
2,16,0.6,0.45715619652407985,0.7256447563874283
2,16,0.7000000000000001,0.5914073649145151,0.866530937603685
2,16,0.8,0.683611270774758,0.949460098298275
2,16,0.9,0.7341732685241724,0.9887855468339022
2,32,0.1,0.006721612793944267,0.04716921258908259
2,32,0.2,0.02030931382730664,0.07521968084187647
2,32,0.30000000000000004,0.048691314927139656,0.127297555365071
2,32,0.4,0.10808906168313713,0.22518554517320233
2,32,0.5,0.2209342255635595,0.3927719565574391
2,32,0.6,0.38613457219775393,0.6129120193615142
2,32,0.7000000000000001,0.5515974609294135,0.8082014079551847
2,32,0.8,0.6683666601520325,0.928287027988934
2,32,0.9,0.7308794387168958,0.9843494124133275
