run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.01000_twirl,1,2,dephase_z,iid_p,0.01,0.01,0.9933333333333328,0.9966220750749404,0.0066666666666668,0.0033779249250592,0.9867555555555548,0.99326697090348,0.5066887387588725,1,True,1,1,0.986666666666666,0.9932441501498812
M1_N2_dephase_z_iid_p_p0.10000_twirl,1,2,dephase_z,iid_p,0.1,0.1,0.9333333333333323,0.962085308056872,0.0666666666666668,0.0379146919431278,0.8755555555555543,0.9270456638440286,0.5687203791469161,1,True,1,1,0.866666666666666,0.924170616113744
M1_N2_dephase_z_iid_p_p0.20000_twirl,1,2,dephase_z,iid_p,0.2,0.2,0.866666666666666,0.914572864321608,0.1333333333333334,0.0854271356783918,0.7688888888888882,0.843741319663645,0.6407035175879383,1,True,1,1,0.733333333333333,0.8291457286432161
M1_N2_dephase_z_iid_p_p0.30000_twirl,1,2,dephase_z,iid_p,0.3,0.3,0.7999999999999993,0.857142857142857,0.2,0.1428571428571427,0.6799999999999992,0.7551020408163265,0.7142857142857134,1,True,1,1,0.5999999999999996,0.7142857142857143
M1_N2_dephase_z_iid_p_p0.40000_twirl,1,2,dephase_z,iid_p,0.4,0.4,0.7333333333333328,0.7900552486187842,0.2666666666666666,0.2099447513812155,0.6088888888888885,0.6682640945026095,0.787292817679558,1,True,1,1,0.4666666666666664,0.5801104972375688
M1_N2_dephase_z_iid_p_p0.50000_twirl,1,2,dephase_z,iid_p,0.5,0.5,0.6666666666666663,0.7142857142857141,0.3333333333333332,0.2857142857142856,0.5555555555555551,0.5918367346938775,0.857142857142857,1,True,1,1,0.3333333333333332,0.4285714285714286
M1_N2_dephase_z_iid_p_p0.60000_twirl,1,2,dephase_z,iid_p,0.6,0.6,0.5999999999999998,0.6315789473684209,0.3999999999999999,0.3684210526315788,0.5199999999999997,0.5346260387811634,0.9210526315789472,1,True,1,1,0.1999999999999999,0.2631578947368421
M1_N2_dephase_z_iid_p_p0.70000_twirl,1,2,dephase_z,iid_p,0.7,0.7,0.533333333333333,0.544378698224852,0.4666666666666665,0.4556213017751478,0.5022222222222219,0.503938937712265,0.9763313609467456,1,True,1,1,0.0666666666666666,0.0887573964497041
M1_N2_dephase_z_iid_p_p0.80000_twirl,1,2,dephase_z,iid_p,0.8,0.8,0.4666666666666662,0.4556213017751477,0.5333333333333332,0.5443786982248521,0.5022222222222216,0.503938937712265,1.0207100591715978,1,True,1,1,0.0666666666666667,0.0887573964497043
M1_N2_dephase_z_iid_p_p0.90000_twirl,1,2,dephase_z,iid_p,0.9,0.9,0.3999999999999996,0.3684210526315788,0.5999999999999999,0.631578947368421,0.5199999999999994,0.5346260387811634,1.0526315789473686,1,True,1,1,0.1999999999999999,0.2631578947368422
