run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,iterations,purification_level
M5_N2_depolarizing_iid_p_p0.60000,5,2,dephase_z,iid_p,0.6,0.6,0.07776,0.08669440043,0.92224,0.9133055996,0.0380204032,0.03979658423,0.9903122827,3,TRUE,1,3
M5_N2_depolarizing_iid_p_p0.70000,5,2,dephase_z,iid_p,0.7,0.7,0.04315127572,0.04456529936,0.9568487243,0.9554347006,0.03195064478,0.03209271412,0.9985222077,3,TRUE,1,3
M5_N2_depolarizing_iid_p_p0.80000,5,2,dephase_z,iid_p,0.8,0.8,0.0221326749,0.02145759495,0.9778673251,0.9785424051,0.03195064478,0.03209271412,1.000690359,3,TRUE,1,3
M5_N2_depolarizing_iid_p_p0.90000,5,2,dephase_z,iid_p,0.9,0.9,0.01024,0.0092681864,0.98976,0.9907318136,0.0380204032,0.03979658423,1.000981868,3,TRUE,1,3
M5_N4_depolarizing_iid_p_p0.60000,5,4,dephase_z,iid_p,0.6,0.6,0.07776,0.03964043494,0.92224,0.9603595651,0.0380204032,0.03161866646,1.041333671,6,TRUE,2,3
M5_N4_depolarizing_iid_p_p0.70000,5,4,dephase_z,iid_p,0.7,0.7,0.04315127572,0.03209115491,0.9568487243,0.9679088451,0.03195064478,0.03125442768,1.011558902,6,TRUE,2,3
M5_N4_depolarizing_iid_p_p0.80000,5,4,dephase_z,iid_p,0.8,0.8,0.0221326749,0.03209115491,0.9778673251,0.9679088451,0.03195064478,0.03125442768,0.9898161236,6,TRUE,2,3
M5_N4_depolarizing_iid_p_p0.90000,5,4,dephase_z,iid_p,0.9,0.9,0.01024,0.03964043494,0.98976,0.9603595651,0.0380204032,0.03161866646,0.9702953899,6,TRUE,2,3
M5_N8_depolarizing_iid_p_p0.60000,5,8,dephase_z,iid_p,0.6,0.6,0.07776,0.03294342701,0.92224,0.967056573,0.0380204032,0.03126755233,1.048595347,9,TRUE,3,3
M5_N8_depolarizing_iid_p_p0.70000,5,8,dephase_z,iid_p,0.7,0.7,0.04315127572,0.03131069386,0.9568487243,0.9686893061,0.03195064478,0.03125002354,1.01237456,9,TRUE,3,3
