run_id,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,fidelity,eps_L,purity,bloch_r,iteration,purification_level,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.01000,0,1,4,16,16,dephase_z,iid_p,0.01,0.01,0.9235219411296844,0,False,0.9994997487357464,0.0044200695275884,0.9990385715007496,0.99903810888349,1,4,1.0,0.9925,0.0044200695275884,0.0086602540378444,0.9990385715007496,0.98515
M1_N2_dephase_z_iid_p_p0.01000,0,1,5,32,32,dephase_z,iid_p,0.01,0.01,0.8524827780372354,0,False,0.999739980865656,0.0044014690132657,0.9995187075902612,0.9995185917132916,1,5,1.0,0.9925,0.0044014690132657,0.0086602540378444,0.9995187075902612,0.98515
M1_N2_dephase_z_iid_p_p0.01000,0,1,6,64,64,dephase_z,iid_p,0.01,0.01,0.7265520027827856,0,False,0.9998602703426788,0.0043970602407094,0.999759208962878,0.9997591799657336,1,6,1.0,0.9925,0.0043970602407094,0.0086602540378444,0.999759208962878,0.98515
M1_N2_dephase_z_iid_p_p0.01000,0,1,7,128,128,dephase_z,iid_p,0.01,0.01,0.527814258624674,0,False,0.999920458525522,0.0043960883584749,0.9998795682367552,0.9998795609839768,1,7,1.0,0.9925,0.0043960883584749,0.0086602540378444,0.9998795682367552,0.98515
M1_N2_dephase_z_iid_p_p0.01000,0,1,8,256,256,dephase_z,iid_p,0.01,0.01,0.2785711161920119,0,False,0.99995056348947,0.0043959113777884,0.9999397750526228,0.9999397732389916,1,8,1.0,0.9925,0.0043959113777884,0.0086602540378444,0.9999397750526228,0.98515
M1_N2_dephase_z_iid_p_p0.01000,0,1,9,512,512,dephase_z,iid_p,0.01,0.01,0.0775995299922919,0,False,0.9999656186910082,0.0043959002083397,0.9999698852592996,0.999969884805837,1,9,1.0,0.9925,0.0043959002083397,0.0086602540378444,0.9999698852592996,0.98515
M1_N2_dephase_z_iid_p_p0.01000,0,1,10,1024,1024,dephase_z,iid_p,0.01,0.01,0.0060215963842524,0,False,0.9999731469718472,0.0043959139624589,0.9999849420628248,0.9999849419494524,1,10,1.0,0.9925,0.0043959139624589,0.0086602540378444,0.9999849420628248,0.98515
M1_N2_dephase_z_iid_p_p0.10000,0,1,4,16,16,dephase_z,iid_p,0.1,0.1,0.4585782448603575,0,False,0.9913712623505152,0.0508016932996829,0.9879041487852604,0.98783009549746,1,4,1.0,0.9249999999999998,0.0508016932996829,0.0866025403784438,0.9879041487852604,0.8649999999999998
M1_N2_dephase_z_iid_p_p0.10000,0,1,5,32,32,dephase_z,iid_p,0.1,0.1,0.2090221641512553,0,False,0.994361121637354,0.0506828142584816,0.9938597385970273,0.9938407705432768,1,5,1.0,0.9249999999999998,0.0506828142584816,0.0866025403784438,0.9938597385970273,0.8649999999999998
M1_N2_dephase_z_iid_p_p0.10000,0,1,6,64,64,dephase_z,iid_p,0.1,0.1,0.0435561302822148,0,False,0.9958835489453328,0.0506906840969059,0.99690618879909,0.9969013881012406,1,6,1.0,0.9249999999999998,0.0506906840969059,0.0866025403784438,0.99690618879909,0.8649999999999998
M1_N2_dephase_z_iid_p_p0.10000,0,1,7,128,128,dephase_z,iid_p,0.1,0.1,0.0018942017941075,0,False,0.9966518224309274,0.0507121898922084,0.9984470972691816,0.9984458896396756,1,7,1.0,0.9249999999999998,0.0507121898922084,0.0866025403784438,0.9984470972691816,0.8649999999999998
M1_N2_dephase_z_iid_p_p0.10000,0,1,8,256,256,dephase_z,iid_p,0.1,0.1,3.5852145289620225e-06,0,False,0.9970377480690756,0.0507274256700149,0.9992220395683648,0.9992217367214994,1,8,1.0,0.9249999999999998,0.0507274256700149,0.0866025403784438,0.9992220395683648,0.8649999999999998
M1_N2_dephase_z_iid_p_p0.10000,0,1,9,512,512,dephase_z,iid_p,0.1,0.1,1.2848763359089497e-11,0,False,0.9972311611534525,0.0507361753471411,0.999610641284616,0.9996105654549836,1,9,1.0,0.9249999999999998,0.0507361753471411,0.0866025403784438,0.999610641284616,0.8649999999999998
M1_N2_dephase_z_iid_p_p0.10000,0,1,10,1024,1024,dephase_z,iid_p,0.1,0.1,1.6505858010257795e-22,0,False,0.9973279806452866,0.0507408345028096,0.999805225862656,0.9998052068904782,1,10,1.0,0.9249999999999998,0.0507408345028096,0.0866025403784438,0.999805225862656,0.8649999999999998
M1_N2_dephase_z_iid_p_p0.20000,0,1,4,16,16,dephase_z,iid_p,0.2,0.2,0.2233749289342814,0,False,0.9700482193736356,0.1201015161233111,0.9689451870975064,0.9684474039383932,1,4,1.0,0.8500000000000001,0.1201015161233111,0.1732050807568877,0.9689451870975064,0.7599999999999998
M1_N2_dephase_z_iid_p_p0.20000,0,1,5,32,32,dephase_z,iid_p,0.2,0.2,0.0491215978316842,0,False,0.9774619653750244,0.1202717986837345,0.9838545418672904,0.9837220561391214,1,5,1.0,0.8500000000000001,0.1202717986837345,0.1732050807568877,0.9838545418672904,0.7599999999999998
