run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M2_N2_dephase_z_iid_p_p0.01000_twirl,2,2,dephase_z,iid_p,0.01,0.01,0.9899999999999995,0.9948995051004944,0.0099999999999997,0.0051004948995048,0.9802,0.9898510402974297,0.5100494899504978,1,True,,
M2_N2_dephase_z_iid_p_p0.10000_twirl,2,2,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.939560439560439,0.0999999999999998,0.0604395604395602,0.8199999999999996,0.8864267600531335,0.6043956043956036,1,True,,
M2_N2_dephase_z_iid_p_p0.20000_twirl,2,2,dephase_z,iid_p,0.2,0.2,0.7999999999999994,0.8571428571428568,0.1999999999999998,0.1428571428571426,0.6799999999999996,0.7551020408163264,0.7142857142857136,1,True,,
M2_N2_dephase_z_iid_p_p0.30000_twirl,2,2,dephase_z,iid_p,0.3,0.3,0.6999999999999997,0.753164556962025,0.2999999999999997,0.2468354430379744,0.5800000000000001,0.6281845858035573,0.822784810126582,1,True,,
M2_N2_dephase_z_iid_p_p0.40000_twirl,2,2,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.6315789473684207,0.3999999999999998,0.3684210526315787,0.52,0.5346260387811632,0.9210526315789472,1,True,,
M2_N2_dephase_z_iid_p_p0.50000_twirl,2,2,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999996,0.4999999999999998,0.4999999999999998,0.5000000000000004,0.4999999999999998,1.0,1,True,,
M2_N2_dephase_z_iid_p_p0.60000_twirl,2,2,dephase_z,iid_p,0.6,0.6,0.3999999999999998,0.3684210526315787,0.5999999999999999,0.6315789473684208,0.52,0.5346260387811632,1.052631578947368,1,True,,
M2_N2_dephase_z_iid_p_p0.70000_twirl,2,2,dephase_z,iid_p,0.7,0.7,0.3000000000000001,0.2468354430379747,0.6999999999999997,0.753164556962025,0.5800000000000005,0.6281845858035573,1.0759493670886076,1,True,,
M2_N2_dephase_z_iid_p_p0.75000_twirl,2,2,dephase_z,iid_p,0.75,0.75,0.2499999999999998,0.1923076923076921,0.7499999999999997,0.8076923076923075,0.6249999999999996,0.6893491124260354,1.076923076923077,1,True,,
M2_N2_dephase_z_iid_p_p0.80000_twirl,2,2,dephase_z,iid_p,0.8,0.8,0.1999999999999998,0.1428571428571428,0.7999999999999996,0.8571428571428569,0.6799999999999996,0.7551020408163264,1.0714285714285716,1,True,,
M2_N2_dephase_z_iid_p_p0.90000_twirl,2,2,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0604395604395605,0.8999999999999997,0.9395604395604392,0.8199999999999995,0.8864267600531336,1.043956043956044,1,True,,
M2_N4_dephase_z_iid_p_p0.01000_twirl,2,4,dephase_z,iid_p,0.01,0.01,0.9899999999999995,0.9974236714990689,0.0099999999999997,0.0025763285009305,0.9802,0.994860617935228,0.2576328500930591,2,True,,
M2_N4_dephase_z_iid_p_p0.10000_twirl,2,4,dephase_z,iid_p,0.1,0.1,0.8999999999999994,0.9660243894632392,0.0999999999999998,0.03397561053676,0.8199999999999996,0.9343574631491706,0.3397561053676011,2,True,,
M2_N4_dephase_z_iid_p_p0.20000_twirl,2,4,dephase_z,iid_p,0.2,0.2,0.7999999999999994,0.9069767441860462,0.1999999999999998,0.093023255813953,0.6799999999999996,0.8312601406165498,0.4651162790697656,2,True,,
M2_N4_dephase_z_iid_p_p0.30000_twirl,2,4,dephase_z,iid_p,0.3,0.3,0.6999999999999997,0.8109777099837618,0.2999999999999997,0.1890222900162375,0.5800000000000001,0.6934142722134898,0.6300743000541258,2,True,,
M2_N4_dephase_z_iid_p_p0.40000_twirl,2,4,dephase_z,iid_p,0.4,0.4,0.5999999999999999,0.6714801444043319,0.3999999999999998,0.3285198555956675,0.52,0.5588108798498612,0.8212996389891692,2,True,,
M2_N4_dephase_z_iid_p_p0.50000_twirl,2,4,dephase_z,iid_p,0.5,0.5,0.5,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.5000000000000004,0.5,1.0,2,True,,
M2_N4_dephase_z_iid_p_p0.60000_twirl,2,4,dephase_z,iid_p,0.6,0.6,0.3999999999999998,0.3285198555956677,0.5999999999999999,0.6714801444043319,0.52,0.5588108798498612,1.11913357400722,2,True,,
