run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.01000_twirl,1,2,dephase_z,iid_p,0.01,0.01,0.9999999999999998,0.9974874371859292,1.5700924586837752e-16,0.0025125628140703,1.0,0.9949875003156484,16002642393280.553,1,True,1.0,0.9949748743718592
M1_N2_dephase_z_iid_p_p0.10000_twirl,1,2,dephase_z,iid_p,0.1,0.1,0.9999999999999996,0.9736842105263156,1.0007415106216804e-16,0.0263157894736841,0.9999999999999998,0.9487534626038778,262962904949713.7,1,True,1.0,0.9473684210526314
M1_N2_dephase_z_iid_p_p0.20000_twirl,1,2,dephase_z,iid_p,0.2,0.2,0.9999999999999996,0.9444444444444444,1.0007415106216804e-16,0.0555555555555553,0.9999999999999998,0.895061728395062,555143910449394.2,1,True,1.0,0.8888888888888891
M1_N2_dephase_z_iid_p_p0.30000_twirl,1,2,dephase_z,iid_p,0.3,0.3,0.9999999999999998,0.9117647058823528,1.5700924586837752e-16,0.0882352941176469,1.0,0.8391003460207612,561975147575802.9,1,True,1.0,0.8235294117647058
M1_N2_dephase_z_iid_p_p0.40000_twirl,1,2,dephase_z,iid_p,0.4,0.4,0.9999999999999998,0.8749999999999998,1.5700924586837752e-16,0.1249999999999998,1.0,0.7812499999999999,796131459065720.9,1,True,1.0,0.75
M1_N2_dephase_z_iid_p_p0.50000_twirl,1,2,dephase_z,iid_p,0.5,0.5,1.0,0.8333333333333331,2.482534153247273e-16,0.1666666666666665,1.0000000000000004,0.7222222222222221,671356994016209.8,1,True,1.0000000000000002,0.6666666666666666
M1_N2_dephase_z_iid_p_p0.60000_twirl,1,2,dephase_z,iid_p,0.6,0.6,0.9999999999999998,0.7857142857142856,1.5700924586837752e-16,0.2142857142857142,1.0,0.6632653061224489,1364796786969808.0,1,True,1.0,0.5714285714285714
M1_N2_dephase_z_iid_p_p0.70000_twirl,1,2,dephase_z,iid_p,0.7,0.7,1.0,0.7307692307692307,2.482534153247273e-16,0.269230769230769,1.0000000000000004,0.6065088757396451,1084499759564646.2,1,True,1.0000000000000002,0.4615384615384617
M1_N2_dephase_z_iid_p_p0.80000_twirl,1,2,dephase_z,iid_p,0.8,0.8,0.9999999999999996,0.6666666666666664,1.0007415106216804e-16,0.3333333333333332,0.9999999999999998,0.5555555555555554,3330863462696375.5,1,True,1.0,0.3333333333333333
M1_N2_dephase_z_iid_p_p0.90000_twirl,1,2,dephase_z,iid_p,0.9,0.9,0.9999999999999996,0.5909090909090908,1.0007415106216804e-16,0.4090909090909089,0.9999999999999998,0.5165289256198348,4087877886036461.0,1,True,1.0,0.1818181818181819
M1_N4_dephase_z_iid_p_p0.01000_twirl,1,4,dephase_z,iid_p,0.01,0.01,0.9999999999999998,0.9987373977102276,1.5700924586837752e-16,0.0012626022897719,1.0,0.99747798374954,8041579225406.783,2,True,1.0,0.997474795420456
M1_N4_dephase_z_iid_p_p0.10000_twirl,1,4,dephase_z,iid_p,0.1,0.1,0.9999999999999996,0.986140724946695,1.0007415106216804e-16,0.0138592750533047,0.9999999999999998,0.9726656089033968,138490058683536.56,2,True,1.0,0.9722814498933904
M1_N4_dephase_z_iid_p_p0.20000_twirl,1,4,dephase_z,iid_p,0.2,0.2,0.9999999999999996,0.9690553745928336,1.0007415106216804e-16,0.030944625407166,0.9999999999999998,0.9400258888688472,309216966406665.94,2,True,1.0,0.9381107491856676
M1_N4_dephase_z_iid_p_p0.30000_twirl,1,4,dephase_z,iid_p,0.3,0.3,0.9999999999999998,0.947789275634995,1.5700924586837752e-16,0.0522107243650046,1.0,0.9010304707474276,332532801340715.0,2,True,1.0,0.8955785512699905
M1_N4_dephase_z_iid_p_p0.40000_twirl,1,4,dephase_z,iid_p,0.4,0.4,0.9999999999999998,0.9210526315789472,1.5700924586837752e-16,0.0789473684210524,1.0,0.8545706371191139,502819868883612.56,2,True,1.0,0.8421052631578949
M1_N4_dephase_z_iid_p_p0.50000_twirl,1,4,dephase_z,iid_p,0.5,0.5,1.0,0.8870967741935483,2.482534153247273e-16,0.1129032258064514,1.0000000000000004,0.7996878251821021,454790221752915.75,2,True,1.0000000000000002,0.774193548387097
M1_N4_dephase_z_iid_p_p0.60000_twirl,1,4,dephase_z,iid_p,0.6,0.6,0.9999999999999998,0.8435582822085889,1.5700924586837752e-16,0.1564417177914109,1.0,0.736064586548233,996385384352190.8,2,True,1.0,0.6871165644171779
M1_N4_dephase_z_iid_p_p0.70000_twirl,1,4,dephase_z,iid_p,0.7,0.7,1.0,0.7872928176795579,2.482534153247273e-16,0.2127071823204418,1.0000000000000004,0.6650743261805195,856814727169858.8,2,True,1.0000000000000002,0.5745856353591161
M1_N4_dephase_z_iid_p_p0.80000_twirl,1,4,dephase_z,iid_p,0.8,0.8,0.9999999999999996,0.7142857142857142,1.0007415106216804e-16,0.2857142857142856,0.9999999999999998,0.5918367346938775,2855025825168322.0,2,True,1.0,0.4285714285714286
