noise_type,dimension,N,physical_error_rates,final_logical_errors,initial_logical_errors,error_reduction_ratios,success_probabilities,convergence_status
depolarizing,2,8,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.003415521214208128, 0.006569737279693677, 0.010196435723111907, 0.014370133365557425, 0.019178015922876823, 0.024721896029616164, 0.031120310555576625, 0.03851066510374873, 0.04705126598102649, 0.05692298523455447, 0.06833017845735412, 0.08150031829441012, 0.09668162850889572, 0.11413782999595556, 0.13413899192321538, 0.15694750071108787, 0.18279843058556478, 0.21187424877167566, 0.24427490873497992, 0.27998595388191233]","[0.025000000000000022, 0.044736842105263186, 0.06447368421052635, 0.08421052631578946, 0.10394736842105262, 0.12368421052631579, 0.14342105263157895, 0.16315789473684206, 0.18289473684210522, 0.20263157894736838, 0.22236842105263155, 0.2421052631578947, 0.2618421052631579, 0.28157894736842104, 0.3013157894736842, 0.32105263157894737, 0.34078947368421053, 0.3605263157894737, 0.38026315789473686, 0.4]","[0.13662084856832502, 0.14685295095785858, 0.1581487989707152, 0.17064533371599444, 0.18449736837197958, 0.19987915938838602, 0.21698565158016728, 0.2360331087003955, 0.2572587204717996, 0.2809186284302689, 0.30728364276679965, 0.33663174947691143, 0.36923637018472744, 0.4053493027893749, 0.44517744044385893, 0.4888528710673229, 0.536396939169997, 0.587680398052823, 0.6423838430400856, 0.6999648847047808]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False]"
depolarizing,2,16,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.0017194462461262439, 0.0033281709237236723, 0.005202709695593555, 0.007393029198865586, 0.009960260802047538, 0.012979478713917247, 0.016543200009603853, 0.02076577489242243, 0.025788849929292756, 0.03178807744120565, 0.038981183429484756, 0.04763734742351938, 0.058087514836895504, 0.0707346442864541, 0.0860618458248621, 0.10463475516852405, 0.12709229805432387, 0.1541175726602712, 0.1863790062678961, 0.22443343814890537]","[0.025000000000000022, 0.044736842105263186, 0.06447368421052635, 0.08421052631578946, 0.10394736842105262, 0.12368421052631579, 0.14342105263157895, 0.16315789473684206, 0.18289473684210522, 0.20263157894736838, 0.22236842105263155, 0.2421052631578947, 0.2618421052631579, 0.28157894736842104, 0.3013157894736842, 0.32105263157894737, 0.34078947368421053, 0.3605263157894737, 0.38026315789473686, 0.4]","[0.0687778498450497, 0.07439440888323498, 0.08069508915614489, 0.08779222173652886, 0.09582023050071051, 0.10494046619762881, 0.11534708263576998, 0.1272741041793633, 0.14100378378606115, 0.15687622633322273, 0.1752999964876238, 0.1967629567493192, 0.2218417652062341, 0.2512071479332015, 0.285620099680765, 0.3259115324921241, 0.37293492865361444, 0.42747939861973033, 0.49013164278062643, 0.5610835953722634]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False]"
depolarizing,2,32,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.0008626821558384012, 0.0016751805544149567, 0.0026284930797706996, 0.0037513720042716137, 0.005079826239539453, 0.006659284969431967, 0.00854750252306663, 0.010818485260080168, 0.013567832667863933, 0.01692003773273848, 0.021038494790030837, 0.026139216939292942, 0.03250954330711703, 0.04053332327779963, 0.05072394590493923, 0.06376555386605587, 0.08055965032687623, 0.10226696816785041, 0.13032004587631962, 0.16635883220815212]","[0.025000000000000022, 0.044736842105263186, 0.06447368421052635, 0.08421052631578946, 0.10394736842105262, 0.12368421052631579, 0.14342105263157895, 0.16315789473684206, 0.18289473684210522, 0.20263157894736838, 0.22236842105263155, 0.2421052631578947, 0.2618421052631579, 0.28157894736842104, 0.3013157894736842, 0.32105263157894737, 0.34078947368421053, 0.3605263157894737, 0.38026315789473686, 0.4]","[0.03450728623353602, 0.03744521239280489, 0.040768464094402664, 0.04454754255072542, 0.04886921445632892, 0.05384102741242867, 0.05959726529844623, 0.06630684514242685, 0.07418383329191792, 0.0835014849148133, 0.09461098248771266, 0.10796633083620999, 0.12415704981612534, 0.14395012005199867, 0.16834147985918696, 0.19861402023853467, 0.23639125192442445, 0.2836602036772493, 0.3427101552456848, 0.41589708052038027]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
depolarizing,2,64,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.00043208561915664134, 0.0008403988536175855, 0.0013211645718607667, 0.0018897850904229796, 0.002565782959592977, 0.0033741352211732467, 0.004347120585640185, 0.0055269083509584815, 0.00696923383512138, 0.008748686163773278, 0.010966419549515605, 0.01376155127585238, 0.017328225877043857, 0.021941447878633114, 0.027996492152145336, 0.03606910785618772, 0.04700651676324341, 0.0620604205867365, 0.08306612299723398, 0.11263810068147184]","[0.025000000000000022, 0.044736842105263186, 0.06447368421052635, 0.08421052631578946, 0.10394736842105262, 0.12368421052631579, 0.14342105263157895, 0.16315789473684206, 0.18289473684210522, 0.20263157894736838, 0.22236842105263155, 0.2421052631578947, 0.2618421052631579, 0.28157894736842104, 0.3013157894736842, 0.32105263157894737, 0.34078947368421053, 0.3605263157894737, 0.38026315789473686, 0.4]","[0.01728342476626564, 0.018785386139687194, 0.02049153213498331, 0.022441197948772886, 0.02468348163659067, 0.027280242213741146, 0.030310198578775604, 0.033874599570390705, 0.03810516341505216, 0.043175334314725276, 0.049316442944567225, 0.056841190052433745, 0.06617814907815744, 0.07792289900822975, 0.09291412242633387, 0.11234640151927323, 0.1379341804635714, 0.1721383928683202, 0.2184437836605461, 0.2815952517036796]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
depolarizing,3,8,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.004555301073494444, 0.008767635213515165, 0.013621488111855337, 0.01922451922972046, 0.025704138471942084, 0.03321088013051251, 0.041922053894047386, 0.05204547962209305, 0.06382294669902788, 0.07753279355388439, 0.09349066189787014, 0.11204704204373199, 0.1335797259069893, 0.15847882935369859, 0.1871218544421882, 0.21983669623406055, 0.25685203401731377, 0.29823761463650533, 0.3438415722348019, 0.3932372779824493]","[0.03333333333333336, 0.059649122807017584, 0.0859649122807018, 0.11228070175438594, 0.13859649122807016, 0.16491228070175437, 0.1912280701754386, 0.21754385964912273, 0.24385964912280697, 0.2701754385964912, 0.2964912280701754, 0.3228070175438596, 0.34912280701754383, 0.37543859649122807, 0.40175438596491225, 0.4280701754385965, 0.4543859649122807, 0.4807017543859649, 0.5070175438596491, 0.5333333333333333]","[0.13665903220483322, 0.14698682563834237, 0.15845404538280689, 0.1712183743896979, 0.1854602396076834, 0.20138512419566099, 0.21922541944593585, 0.23924131761768588, 0.2617199972550065, 0.28697202808905264, 0.3153235342117514, 0.3471022498093872, 0.3826152953114769, 0.4221165080916271, 0.4657618211006432, 0.5135529379238299, 0.5652728161770998, 0.6204213151197374, 0.6781650386637961, 0.7373198962170924]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]"
depolarizing,3,16,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.0022932489782392373, 0.004441722787509909, 0.00695084385706816, 0.009892083750947375, 0.013353877631800959, 0.01744615089262543, 0.022306107909726498, 0.02810559402926538, 0.035060360684810554, 0.04344151631134974, 0.05358925392373829, 0.06592846976315762, 0.08098489581927899, 0.09939852583911464, 0.121928028291212, 0.1494353033662983, 0.18283395900039823, 0.22298184704721402, 0.27050185283505157, 0.32553577620239654]","[0.03333333333333336, 0.059649122807017584, 0.0859649122807018, 0.11228070175438594, 0.13859649122807016, 0.16491228070175437, 0.1912280701754386, 0.21754385964912273, 0.24385964912280697, 0.2701754385964912, 0.2964912280701754, 0.3228070175438596, 0.34912280701754383, 0.37543859649122807, 0.40175438596491225, 0.4280701754385965, 0.4543859649122807, 0.4807017543859649, 0.5070175438596491, 0.5333333333333333]","[0.06879746934717706, 0.07446417614354843, 0.08085675507201734, 0.08810137090687507, 0.09635076265982971, 0.10579048945528187, 0.11664661934444132, 0.12919506932807479, 0.1437727020887915, 0.16079002790564517, 0.1807448209262179, 0.20423493350543398, 0.23196678702004536, 0.2647530828425016, 0.30348897871611724, 0.3490906676999591, 0.4023758943252007, 0.46386734604712404, 0.5335157651071951, 0.6103795803794936]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False]"
depolarizing,3,32,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.001150573249627011, 0.002235690857318747, 0.003511783090212569, 0.005019793016072323, 0.006811570192387502, 0.008953324715158232, 0.011530338750079286, 0.014653440433750312, 0.018467954710896278, 0.02316613267920616, 0.02900443357543958, 0.036327465134293524, 0.045600752188034756, 0.05745442459090033, 0.07273846054979154, 0.09258524933226764, 0.11846311191409604, 0.152179547646449, 0.19575257875582444, 0.25102816404180955]","[0.03333333333333336, 0.059649122807017584, 0.0859649122807018, 0.11228070175438594, 0.13859649122807016, 0.16491228070175437, 0.1912280701754386, 0.21754385964912273, 0.24385964912280697, 0.2701754385964912, 0.2964912280701754, 0.3228070175438596, 0.34912280701754383, 0.37543859649122807, 0.40175438596491225, 0.4280701754385965, 0.4543859649122807, 0.4807017543859649, 0.5070175438596491, 0.5333333333333333]","[0.0345171974888103, 0.03748069966681426, 0.04085135431471762, 0.044707531549394136, 0.04914677227418831, 0.05429143710255524, 0.06029626685821278, 0.06735855683256194, 0.07573190061302791, 0.08574477679965918, 0.09782560436686723, 0.112536169166018, 0.13061521983507443, 0.15303281316267844, 0.1810520633772104, 0.21628521360406786, 0.26071032351750867, 0.3165778910893282, 0.3860864010062973, 0.4706778075783929]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
depolarizing,3,64,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.0005762800597673609, 0.0011215983496623376, 0.001765157222750317, 0.00252884256281094, 0.003440701316921535, 0.004537051786901595, 0.005865452352256255, 0.007488933652700129, 0.00949211558009222, 0.011990173646778457, 0.015142167220282943, 0.019171116958170382, 0.024394600242349334, 0.031271743791770445, 0.040475460670276554, 0.05300209209782247, 0.07033135789794225, 0.09463757442708798, 0.12900092418656203, 0.17742021875601025]","[0.03333333333333336, 0.059649122807017584, 0.0859649122807018, 0.11228070175438594, 0.13859649122807016, 0.16491228070175437, 0.1912280701754386, 0.21754385964912273, 0.24385964912280697, 0.2701754385964912, 0.2964912280701754, 0.3228070175438596, 0.34912280701754383, 0.37543859649122807, 0.40175438596491225, 0.4280701754385965, 0.4543859649122807, 0.4807017543859649, 0.5070175438596491, 0.5333333333333333]","[0.01728840179302081, 0.01880326645022153, 0.020533461570768984, 0.02252250407503494, 0.024825313299307282, 0.027511909771637335, 0.030672548998037293, 0.034424936951928026, 0.03892450273850767, 0.04437921414716702, 0.051071214884977977, 0.05938878622911478, 0.06987398059366393, 0.08329389701546333, 0.10074677983431282, 0.12381636268753611, 0.15478329730435164, 0.19687378621693485, 0.25443088853404966, 0.3326629101675192]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
depolarizing,4,8,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.005125437656438692, 0.009868173640846634, 0.015339382956654823, 0.02166525488183285, 0.02899612426353887, 0.03751085609065055, 0.04742164964031925, 0.058979008636287494, 0.07247637832257692, 0.0882535737941822, 0.10669758242544619, 0.12823860689631414, 0.1533383810511682, 0.1824670333479396, 0.21606451637571458, 0.2544835868237678, 0.29791445194321353, 0.34629726073421946, 0.39923732646681925, 0.45594686480410174]","[0.03750000000000003, 0.06710526315789478, 0.09671052631578952, 0.1263157894736842, 0.15592105263157893, 0.18552631578947368, 0.21513157894736842, 0.24473684210526309, 0.27434210526315783, 0.3039473684210526, 0.3335526315789473, 0.36315789473684207, 0.3927631578947368, 0.42236842105263156, 0.4519736842105263, 0.48157894736842105, 0.5111842105263158, 0.5407894736842105, 0.5703947368421053, 0.6000000000000001]","[0.13667833750503167, 0.14705513660869485, 0.15861130676268925, 0.17151660114784345, 0.1859667041374645, 0.20218617467301006, 0.22043090964307419, 0.2409894976536479, 0.26418248213505263, 0.29035807828388954, 0.31988229839581506, 0.3531208015985462, 0.39040927838823397, 0.4320091755278321, 0.4780466737861516, 0.5284358633499003, 0.5827927502621423, 0.6403550320146151, 0.6999316450167996, 0.7599114413401694]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False]"
depolarizing,4,16,"[0.05, 0.08947368421052632, 0.12894736842105264, 0.16842105263157894, 0.20789473684210524, 0.24736842105263157, 0.2868421052631579, 0.32631578947368417, 0.3657894736842105, 0.4052631578947368, 0.44473684210526315, 0.4842105263157894, 0.5236842105263158, 0.5631578947368421, 0.6026315789473684, 0.6421052631578947, 0.6815789473684211, 0.7210526315789474, 0.7605263157894737, 0.8]","[0.0025802770397413965, 0.004999326626373174, 0.007827752588478037, 0.011148913291639223, 0.015066619822333455, 0.019710818862528012, 0.025244936050713984, 0.03187531325381879, 0.03986320444819272, 0.0495397272596744, 0.06132387331289596, 0.07574292537386573, 0.0934530151677774, 0.11525449296586324, 0.14209159903234064, 0.17501840505848906, 0.21510474418689537, 0.2632528284386695, 0.3199100270202109, 0.38471155781647326]","[0.03750000000000003, 0.06710526315789478, 0.09671052631578952, 0.1263157894736842, 0.15592105263157893, 0.18552631578947368, 0.21513157894736842, 0.24473684210526309, 0.27434210526315783, 0.3039473684210526, 0.3335526315789473, 0.36315789473684207, 0.3927631578947368, 0.42236842105263156, 0.4519736842105263, 0.48157894736842105, 0.5111842105263158, 0.5407894736842105, 0.5703947368421053, 0.6000000000000001]","[0.06880738772643719, 0.07449976933418843, 0.08094002676521504, 0.0882622302254772, 0.09662979801665339, 0.10624271159944178, 0.11734649173420568, 0.1302432154457112, 0.14530472604617015, 0.16298784726126644, 0.18385066555345536, 0.20856747566716652, 0.23793732505028756, 0.2728766811652837, 0.3143802482229371, 0.36342619629631606, 0.4207969255650978, 0.48679355137077573, 0.5608572561369325, 0.641185929694122]","[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False]"
